field_id,label,component,binding,description,input_type,prerequisites,requirement,allowed_values,validation,default,disabled,transformation,storage_mapping,source_id,source_path,line
FRM-029-C001,pageSize,select,pageSize,Source control for pageSize; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => onPageSizeChange(Number(event.target.value)),UI binding shown; persisted path must be verified against payload builder,FS-164,ireps-web/src/pages/operations/TargetedBatchesPage.jsx,340
FRM-029-C002,sourceFilter,select,sourceFilter,Source control for sourceFilter; interpret in the business definitions and its enclosing section.,select,conditional branch: isRegisterLoading,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) => {
              setSourceFilter(event.target.value);
              resetToFirstPage();
            }",UI binding shown; persisted path must be verified against payload builder,FS-164,ireps-web/src/pages/operations/TargetedBatchesPage.jsx,1099
FRM-029-C003,statusFilter,select,statusFilter,Source control for statusFilter; interpret in the business definitions and its enclosing section.,select,conditional branch: isRegisterLoading,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) => {
              setStatusFilter(event.target.value);
              resetToFirstPage();
            }",UI binding shown; persisted path must be verified against payload builder,FS-164,ireps-web/src/pages/operations/TargetedBatchesPage.jsx,1115
FRM-029-C004,Tick every batch listed below,input,,Source control for Tick every batch listed below; interpret in the business definitions and its enclosing section.,checkbox,conditional branch: isRegisterLoading,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,!listedIds.length,() => ticked.toggleListed(listedIds),UI binding shown; persisted path must be verified against payload builder,FS-164,ireps-web/src/pages/operations/TargetedBatchesPage.jsx,1147
FRM-029-C005,Filter TB ID,input,tbIdFilter,Source control for Filter TB ID; interpret in the business definitions and its enclosing section.,text,conditional branch: isRegisterLoading,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) => {
                      setTbIdFilter(event.target.value);
                      resetToFirstPage();
                    }",UI binding shown; persisted path must be verified against payload builder,FS-164,ireps-web/src/pages/operations/TargetedBatchesPage.jsx,1212
FRM-029-C006,batchTypeFilter,select,batchTypeFilter,Source control for batchTypeFilter; interpret in the business definitions and its enclosing section.,select,conditional branch: isRegisterLoading,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) => {
                      setBatchTypeFilter(event.target.value);
                      resetToFirstPage();
                    }",UI binding shown; persisted path must be verified against payload builder,FS-164,ireps-web/src/pages/operations/TargetedBatchesPage.jsx,1225
FRM-029-C007,allocationFilter,select,allocationFilter,Source control for allocationFilter; interpret in the business definitions and its enclosing section.,select,conditional branch: isRegisterLoading,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) => {
                      setAllocationFilter(event.target.value);
                      resetToFirstPage();
                    }",UI binding shown; persisted path must be verified against payload builder,FS-164,ireps-web/src/pages/operations/TargetedBatchesPage.jsx,1241
FRM-029-C008,effectiveAllocatedToFilter,select,effectiveAllocatedToFilter,Source control for effectiveAllocatedToFilter; interpret in the business definitions and its enclosing section.,select,conditional branch: isRegisterLoading,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) => {
                      setAllocatedToFilter(event.target.value);
                      resetToFirstPage();
                    }",UI binding shown; persisted path must be verified against payload builder,FS-164,ireps-web/src/pages/operations/TargetedBatchesPage.jsx,1256
FRM-029-C009,Filter,input,totalFilter,Source control for Filter; interpret in the business definitions and its enclosing section.,text,conditional branch: isRegisterLoading,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) => {
                      setTotalFilter(event.target.value);
                      resetToFirstPage();
                    }",UI binding shown; persisted path must be verified against payload builder,FS-164,ireps-web/src/pages/operations/TargetedBatchesPage.jsx,1274
FRM-029-C010,wardFilter,select,wardFilter,Source control for wardFilter; interpret in the business definitions and its enclosing section.,select,conditional branch: isRegisterLoading,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) => {
                      setWardFilter(event.target.value);
                      resetToFirstPage();
                    }",UI binding shown; persisted path must be verified against payload builder,FS-164,ireps-web/src/pages/operations/TargetedBatchesPage.jsx,1288
