error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-005-E001,LOCAL_MESSAGE,Passwords must match.,Client source: handleFinalize,"Alert.alert(""Security Check"", ""Passwords must match."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-030,ireps-mobile/app/onboarding/complete-invited-profile.js,45
FRM-005-E002,LOCAL_MESSAGE,Password must be at least 6 characters.,Client source: handleFinalize,"Alert.alert(
        ""Security Check"",
        ""Password must be at least 6 characters."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-030,ireps-mobile/app/onboarding/complete-invited-profile.js,48
FRM-005-E003,LOCAL_MESSAGE,Please select your active workbase.,Client source: handleFinalize,"Alert.alert(""Jurisdiction"", ""Please select your active workbase."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-030,ireps-mobile/app/onboarding/complete-invited-profile.js,54
FRM-005-E004,LOCAL_MESSAGE,Security rotated and jurisdiction locked.,Client source: handleFinalize,"Alert.alert(""Mission Ready"", ""Security rotated and jurisdiction locked."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-030,ireps-mobile/app/onboarding/complete-invited-profile.js,85
FRM-005-E005,LOCAL_MESSAGE,Session expired. Please sign out and in again.,Client source: handleFinalize,"Alert.alert(
          ""Timeout"",
          ""Session expired. Please sign out and in again."",
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-030,ireps-mobile/app/onboarding/complete-invited-profile.js,90
FRM-005-E006,LOCAL_MESSAGE,"err.message || ""Could not finalize.""",Client source: handleFinalize,"Alert.alert(
          ""Operational Failure"",
          err.message || ""Could not finalize."",
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-030,ireps-mobile/app/onboarding/complete-invited-profile.js,95
FRM-005-E007,LOCAL_MESSAGE,Passwords must match.,Client source: handleFinalize,"Alert.alert(""Security Check"", ""Passwords must match."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-031,ireps-mobile/app/onboarding/confirm-admin.js,46
FRM-005-E008,LOCAL_MESSAGE,Security protocol requires 6+ characters.,Client source: handleFinalize,"Alert.alert(
        ""Security Check"",
        ""Security protocol requires 6+ characters."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-031,ireps-mobile/app/onboarding/confirm-admin.js,49
FRM-005-E009,LOCAL_MESSAGE,Select your initial operational context.,Client source: handleFinalize,"Alert.alert(
        ""Context Required"",
        ""Select your initial operational context."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-031,ireps-mobile/app/onboarding/confirm-admin.js,55
FRM-005-E010,LOCAL_MESSAGE,Administrator credentials locked and loaded.,Client source: handleFinalize,"Alert.alert(
        ""Sovereign Access Active"",
        ""Administrator credentials locked and loaded."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-031,ireps-mobile/app/onboarding/confirm-admin.js,88
FRM-005-E011,LOCAL_MESSAGE,"err.message || ""Could not finalize ADM profile.""",Client source: handleFinalize,"Alert.alert(
        ""Operational Failure"",
        err.message || ""Could not finalize ADM profile."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-031,ireps-mobile/app/onboarding/confirm-admin.js,95
FRM-005-E012,"String(error?.code || """")","String(error?.message || fallbackMessage || """").trim() || fallbackMessage",Client source: plainAuthError,"{
    code: String(error?.code || """"),
    message: String(error?.message || fallbackMessage || """").trim() || fallbackMessage,
  }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-054,ireps-mobile/src/redux/authApi.js,56
