error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-027-E001,LOCAL_MESSAGE,Only ISSUED or REJECTED workorders can be reassigned.,Client source: handleReassign,"Alert.alert(
        ""View Only"",
        ""Only ISSUED or REJECTED workorders can be reassigned."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-008,ireps-mobile/app/(tabs)/admin/operations/dashboard/control.js,642
FRM-027-E002,LOCAL_MESSAGE,`Cancel ${trnId}? This action should only be used before field acceptance or after rejection.`,Client source: handleCancel,"Alert.alert(
      ""Cancel Workorder"",
      `Cancel ${trnId}? This action should only be used before field acceptance or after rejection.`,
      [
        { text: ""NO"", style: ""cancel"" },
        {
          text: ""YES, CANCEL"",
          style: ""destructive"",
          onPress: async () => {
            try {
              const result = await manageLifecycleInstruction({
                trnIds: [trnId],
                action: ""CANCEL"",
                cancelReason: ""Cancelled from WDB Manager Control"",
              }).unwrap();

              Alert.alert(
                ""Work Cancelled"",
                result?.message || ""Lifecycle instruction cancelled."",
              );
            } catch (error) {
              console.log(""WDB cancel ERROR"", {
                trnId,
                code: error?.code,
                message: error?.message,
                data: error?.data,
                raw: error,
              });

              Alert.alert(
                ""Cancel Failed"",
                error?.data?.message ||
                  error?.message ||
                  ""Could not cancel lifecycle instruction."",
              );
            }
          },
        },
      ],
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-008,ireps-mobile/app/(tabs)/admin/operations/dashboard/control.js,655
FRM-027-E003,LOCAL_MESSAGE,"result?.message || ""Lifecycle instruction cancelled.""",Client source: handleCancel,"Alert.alert(
                ""Work Cancelled"",
                result?.message || ""Lifecycle instruction cancelled."",
              )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-008,ireps-mobile/app/(tabs)/admin/operations/dashboard/control.js,671
FRM-027-E004,error?.code,error?.message,Client source: handleCancel,"{
                trnId,
                code: error?.code,
                message: error?.message,
                data: error?.data,
                raw: error,
              }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-008,ireps-mobile/app/(tabs)/admin/operations/dashboard/control.js,676
FRM-027-E005,LOCAL_MESSAGE,"error?.data?.message ||
                  error?.message ||
                  ""Could not cancel lifecycle instruction.""",Client source: handleCancel,"Alert.alert(
                ""Cancel Failed"",
                error?.data?.message ||
                  error?.message ||
                  ""Could not cancel lifecycle instruction."",
              )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-008,ireps-mobile/app/(tabs)/admin/operations/dashboard/control.js,684
FRM-027-E006,LOCAL_MESSAGE,"result?.message || ""Lifecycle instruction reassigned successfully.""",Client source: handleSubmitReassign,"Alert.alert(
        ""Work Reassigned"",
        result?.message || ""Lifecycle instruction reassigned successfully."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-008,ireps-mobile/app/(tabs)/admin/operations/dashboard/control.js,708
FRM-027-E007,error?.code,error?.message,Client source: handleSubmitReassign,"{
        trnId: item?.id,
        target,
        code: error?.code,
        message: error?.message,
        data: error?.data,
        raw: error,
      }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-008,ireps-mobile/app/(tabs)/admin/operations/dashboard/control.js,715
FRM-027-E008,LOCAL_MESSAGE,"error?.data?.message ||
          error?.message ||
          ""Could not reassign lifecycle instruction.""",Client source: handleSubmitReassign,"Alert.alert(
        ""Reassign Failed"",
        error?.data?.message ||
          error?.message ||
          ""Could not reassign lifecycle instruction."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-008,ireps-mobile/app/(tabs)/admin/operations/dashboard/control.js,724
FRM-027-E009,LOCAL_MESSAGE,"Select a USER, TEAM or SP target.",Client source: submit,"Alert.alert(""Target Required"", ""Select a USER, TEAM or SP target."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-008,ireps-mobile/app/(tabs)/admin/operations/dashboard/control.js,1267
FRM-027-E010,LOCAL_MESSAGE,Give a short reason for this reassignment.,Client source: submit,"Alert.alert(
        ""Reason Required"",
        ""Give a short reason for this reassignment."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-008,ireps-mobile/app/(tabs)/admin/operations/dashboard/control.js,1274
FRM-027-E011,INVALID_ASSIGNMENT_TARGETS,"assignment.targets must contain at least one USER, TEAM, or SP target",Server source: validateNewTargets,"{
      ok: false,
      code: ""INVALID_ASSIGNMENT_TARGETS"",
      message:
        ""assignment.targets must contain at least one USER, TEAM, or SP target"",
    }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-079,ireps-web-normalisation/functions/meterLifecycle/manageInstructionCallable.js,216
FRM-027-E012,UNAUTHENTICATED,Authentication is required,Server source: onManageLifecycleInstructionCallable,"buildFailureResult(
        ""UNAUTHENTICATED"",
        ""Authentication is required"",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-079,ireps-web-normalisation/functions/meterLifecycle/manageInstructionCallable.js,465
