id,group,label,form_path,data_type,meaning,prerequisite_and_requirement,validation,initial_or_default,stored_as,synthetic_example,evidence,source
MD-F001,Visit,Access outcome,accessData.access.hasAccess,enum string,Whether the worker can access the meter for capture,All visits; set by entry action,Exactly yes or no; No Access changes the schema and suppresses asset capture,From entry action; not a boolean,Same payload path,yes,None specifically required,MD-S01; MD-S41
MD-F002,Visit,No Access reason,accessData.access.reason,string,Why the attempted visit could not inspect the meter,No Access; required,Approved local choices; Other must have explanation. Server requires nonempty text; form rejects bare Other,Blank on No Access; NAv in accessed initial form,Same path; Other represented with explanatory text,Property Locked,noAccessPhoto,MD-S01; MD-S41
MD-F003,Visit,Service / mission,meterType,enum string,Which service is being discovered or whether this is a No Access visit,All submissions; inherited from entry selection,electricity or water when accessed; NA when No Access,Entry action; fallback electricity in draft hydration,Same root path,water,None specifically required,MD-S01; MD-S41
MD-F004,Identity,Meter number,ast.astData.astNo,string,Serial/identifier of the actual meter; leading zeros matter,"Accessed discovery, electricity or water; required",Remove all whitespace; uppercase ASCII a-z; allow only A-Z and 0-9. Local duplicate warning uses loaded data; backend master checks remain authoritative. Do not guess unreadable numbers,Blank; electricity batch route can prefill targetedMeterNo,Same path; normalised identity also keys meter_master,00AB123456,astNoPhoto,MD-S01; MD-S11; MD-S16; MD-S51
MD-F005,Identity,Manufacturer,ast.astData.astManufacturer,string / selected value,Manufacturer shown on the physical equipment,"Accessed discovery, electricity or water; required",Required. Electricity Other requires custom text which replaces Other before transmission. Water offers Other but has no equivalent helper in the reviewed component: unresolved mismatch,Blank,Custom electricity manufacturer replaces literal Other,Conlog,Meter identity photograph,MD-S01; MD-S02; MD-S03; MD-S41
MD-F006,Identity,Other manufacturer,ast.astData.astManufacturerOther,"string, form helper",Manufacturer absent from electricity list,Electricity when Manufacturer = Other; required,Trimmed nonempty text,Blank,Folded into ast.astData.astManufacturer; helper deleted,Example Meter Works,Meter identity photograph,MD-S01; MD-S41
MD-F007,Identity,Model / name,ast.astData.astName,string,Model/name printed on meter,"Accessed discovery, electricity or water; required",Required for water; required after manufacturer is chosen for electricity. No product-wide model enumeration is asserted,Blank,Same path,MODEL-X,Meter identity photograph,MD-S01; MD-S41
MD-F008,Identity,Phase,ast.astData.meter.phase,enum string,Electricity phase category,Accessed electricity discovery; required,single or three,Blank,Same path,single,None specifically required,MD-S01; MD-S41
MD-F009,Identity,Meter subtype,ast.astData.meter.type,enum string,Prepaid or conventional metering,"Accessed discovery, electricity or water; required",prepaid or conventional. Switching to conventional clears remaining-credit inputs and removes its photo,Water conventional; electricity blank,Same path,prepaid,Dependent evidence below,MD-S01; MD-S41
MD-F010,Identity,Meter category,ast.astData.meter.category,enum string,Normal or bulk classification,"Accessed discovery, electricity or water; required",Exactly Normal or Bulk. Selecting Bulk alone does not define a network hierarchy or customer-billing arrangement,Water Normal; electricity blank,Same path,Normal,None specifically required,MD-S01; MD-S41
MD-F011,Location,Placement,ast.location.placement,enum string,Physical mounting/location category,Accessed electricity discovery; required,Eight controlled options listed below. Other has no dedicated explanation control; use Field Comment,Blank,Same path,Kiosk,Context photo may be added; no dedicated placement tag,MD-S01; MD-S41
MD-F012,Location,Meter GPS,ast.location.gps,"object {lat: number, lng: number}",Confirmed physical meter position,"Accessed discovery, electricity or water; required","Finite coordinates, latitude -90..90, longitude -180..180, not 0/0. Validator uses numeric conversion. No parcel-containment or accuracy threshold is enforced here",Null until confirmation; map can initialise at premise centroid,Same path,"{lat: -26.20, lng: 28.04}; synthetic only",Map pin is separate from media GPS,MD-S01; MD-S47; MD-S41
MD-F013,State,Meter status,status.state,enum string,Connection state observed during discovery,"Accessed discovery, electricity or water; required",CONNECTED or DISCONNECTED; neither a QA verdict nor Sales visibility,Null,Root status.state; projected to asset,CONNECTED,None specifically required,MD-S01; MD-S41
MD-F014,Equipment,Seal number,ast.astData.meter.seal.sealNo,string,Identifier read from the associated equipment,Accessed electricity discovery; value OR comment required,"A nonempty value requires its tagged photo. Comments are alternatives to a missing value, not substitutes for reading a visible identifier",Blank,Same path; nonempty value clears canonical comment,SYN001,sealPhoto,MD-S01; MD-S41
MD-F015,Equipment,Seal comment,ast.astData.meter.seal.comment,enum string or canonical free text,Explanation when the associated value could not be captured,Accessed electricity discovery; required if value blank,Select approved reason; Other needs explanatory text. Certain reasons require evidence; see matrix. Bare Other rejected by server,Blank,Same path; Other helper becomes the actual explanation,Seal Missing,Conditional: sealPhoto,MD-S01; MD-S41
MD-F016,Equipment,Seal Other reason,ast.astData.meter.seal.commentOther,"string, form helper",Specific reason not covered by list,Accessed electricity discovery; required when corresponding value blank and comment = Other,Trimmed nonempty text,Blank,Folded into ast.astData.meter.seal.comment; helper deleted,Identifier plate obscured by an unreadable label,No automatic extra photo for custom reason,MD-S01; MD-S41
MD-F017,Equipment,Keypad number,ast.astData.meter.keypad.serialNo,string,Identifier read from the associated equipment,Accessed electricity discovery with prepaid subtype; value optional in inspected schema,"A nonempty value requires its tagged photo. Comments are alternatives to a missing value, not substitutes for reading a visible identifier",Blank,Same path; nonempty value clears canonical comment,SYN001,keypadPhoto,MD-S01; MD-S41
