field_id,label,component,binding,description,input_type,prerequisites,requirement,allowed_values,validation,default,disabled,transformation,storage_mapping,source_id,source_path,line
FRM-034-C001,Add new item...,TextInput,newItemText,Source control for Add new item...; interpret in the business definitions and its enclosing section.,TextInput,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,setNewItemText,UI binding shown; persisted path must be verified against payload builder,FS-014,ireps-mobile/app/(tabs)/admin/settings/index.js,155
FRM-034-C002,placeholder,TextInput,value,Source control for placeholder; interpret in the business definitions and its enclosing section.,TextInput,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,onChangeText,UI binding shown; persisted path must be verified against payload builder,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,115
FRM-034-C003,Lookup key,Field,form.lookupKey,Source control for Lookup key; interpret in the business definitions and its enclosing section.,Field,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) =>
              updateField(""lookupKey"", normalizeLookupKey(text))",UI binding shown; persisted path must be verified against payload builder,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,285
FRM-034-C004,Title,Field,form.title,Source control for Title; interpret in the business definitions and its enclosing section.,Field,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) => updateField(""title"", text)",UI binding shown; persisted path must be verified against payload builder,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,297
FRM-034-C005,Description,Field,form.description,Source control for Description; interpret in the business definitions and its enclosing section.,Field,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) => updateField(""description"", text)",UI binding shown; persisted path must be verified against payload builder,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,306
FRM-034-C006,Domain,Field,form.domain,Source control for Domain; interpret in the business definitions and its enclosing section.,Field,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) =>
              updateField(""domain"", normalizeDomain(text))",UI binding shown; persisted path must be verified against payload builder,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,315
FRM-034-C007,Field key,Field,form.fieldKey,Source control for Field key; interpret in the business definitions and its enclosing section.,Field,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) => updateField(""fieldKey"", text)",UI binding shown; persisted path must be verified against payload builder,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,327
FRM-034-C008,form.allowOther,Switch,form.allowOther,Source control for form.allowOther; interpret in the business definitions and its enclosing section.,Switch,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => updateField(""allowOther"", value)",UI binding shown; persisted path must be verified against payload builder,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,348
FRM-034-C009,Other label,Field,form.otherLabel,Source control for Other label; interpret in the business definitions and its enclosing section.,Field,conditional branch: form.allowOther,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) => updateField(""otherLabel"", text)",UI binding shown; persisted path must be verified against payload builder,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,355
FRM-034-C010,form.system,Switch,form.system,Source control for form.system; interpret in the business definitions and its enclosing section.,Switch,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => updateField(""system"", value)",UI binding shown; persisted path must be verified against payload builder,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,373
FRM-034-C011,placeholder,TextInput,value,Source control for placeholder; interpret in the business definitions and its enclosing section.,keyboardType,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,editable,onChangeText,UI binding shown; persisted path must be verified against payload builder,FS-017,ireps-mobile/app/(tabs)/admin/settings/select-lookups/option.js,86
FRM-034-C012,Code,Field,form.code,Source control for Code; interpret in the business definitions and its enclosing section.,Field,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,!isEditMode,"(text) =>
              updateField(""code"", normalizeOptionCode(text))",UI binding shown; persisted path must be verified against payload builder,FS-017,ireps-mobile/app/(tabs)/admin/settings/select-lookups/option.js,343
FRM-034-C013,Label,Field,form.label,Source control for Label; interpret in the business definitions and its enclosing section.,Field,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) => updateField(""label"", text)",UI binding shown; persisted path must be verified against payload builder,FS-017,ireps-mobile/app/(tabs)/admin/settings/select-lookups/option.js,360
FRM-034-C014,Description,Field,form.description,Source control for Description; interpret in the business definitions and its enclosing section.,Field,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) => updateField(""description"", text)",UI binding shown; persisted path must be verified against payload builder,FS-017,ireps-mobile/app/(tabs)/admin/settings/select-lookups/option.js,370
FRM-034-C015,Sort order,Field,form.sortOrder,Source control for Sort order; interpret in the business definitions and its enclosing section.,numeric,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) =>
              updateField(""sortOrder"", text.replace(/[^0-9.]/g, """"))",UI binding shown; persisted path must be verified against payload builder,FS-017,ireps-mobile/app/(tabs)/admin/settings/select-lookups/option.js,379
FRM-034-C016,form.system,Switch,form.system,Source control for form.system; interpret in the business definitions and its enclosing section.,Switch,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => updateField(""system"", value)",UI binding shown; persisted path must be verified against payload builder,FS-017,ireps-mobile/app/(tabs)/admin/settings/select-lookups/option.js,403
FRM-034-C017,Lookup title,TextInput,form.title,Source control for Lookup title; interpret in the business definitions and its enclosing section.,TextInput,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) => updateField(""title"", text)",UI binding shown; persisted path must be verified against payload builder,FS-015,ireps-mobile/app/(tabs)/admin/settings/select-lookups/[lookupKey].js,182
FRM-034-C018,Description,TextInput,form.description,Source control for Description; interpret in the business definitions and its enclosing section.,TextInput,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) => updateField(""description"", text)",UI binding shown; persisted path must be verified against payload builder,FS-015,ireps-mobile/app/(tabs)/admin/settings/select-lookups/[lookupKey].js,191
FRM-034-C019,METER_REMOVAL,TextInput,form.domain,Source control for METER_REMOVAL; interpret in the business definitions and its enclosing section.,TextInput,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) =>
                updateField(
                  ""domain"",
                  String(text || """")
                    .toUpperCase()
                    .replace(/[^A-Z0-9_]/g, ""_""),
                )",UI binding shown; persisted path must be verified against payload builder,FS-015,ireps-mobile/app/(tabs)/admin/settings/select-lookups/[lookupKey].js,202
