error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-026-E001,LOCAL_MESSAGE,"message ||
        ""No network. Lifecycle instruction saved to offline forms queue.""",Client source: saveLifecycleInstructionToQueue,"Alert.alert(
      ""Saved Offline"",
      message ||
        ""No network. Lifecycle instruction saved to offline forms queue."",
      [
        {
          text: ""OK"",
          onPress: () => router.back(),
        },
      ],
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-013,ireps-mobile/app/(tabs)/admin/operations/trn-origin.js,616
FRM-026-E002,LOCAL_MESSAGE,"result?.message || ""Lifecycle instruction created successfully.""",Client source: handleCreateInstruction,"Alert.alert(
        ""TRN Created"",
        result?.message || ""Lifecycle instruction created successfully."",
        [
          {
            text: ""OK"",
            onPress: () => router.back(),
          },
        ],
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-013,ireps-mobile/app/(tabs)/admin/operations/trn-origin.js,689
FRM-026-E003,LOCAL_MESSAGE,"error?.message ||
          error?.data?.message ||
          ""Could not create lifecycle instruction.""",Client source: handleCreateInstruction,"Alert.alert(
        ""Create TRN Failed"",
        error?.message ||
          error?.data?.message ||
          ""Could not create lifecycle instruction."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-013,ireps-mobile/app/(tabs)/admin/operations/trn-origin.js,721
FRM-026-E004,UNAUTHENTICATED,Authentication is required,Server source: onCreateMeterLifecycleInstructionCallable,"buildFailureResult(
          ""UNAUTHENTICATED"",
          ""Authentication is required"",
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-078,ireps-web-normalisation/functions/meterLifecycle/instructionCallable.js,250
FRM-026-E005,UNAUTHORIZED_LCT_ORIGINATOR,Only MNG can create lifecycle instructions,Server source: onCreateMeterLifecycleInstructionCallable,"buildFailureResult(
          ""UNAUTHORIZED_LCT_ORIGINATOR"",
          ""Only MNG can create lifecycle instructions"",
          {
            actorRole: authority.role,
            actorRelationshipType: authority.relationshipType,
            actorClientType: authority.clientType,
          },
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-078,ireps-web-normalisation/functions/meterLifecycle/instructionCallable.js,266
FRM-026-E006,dynamic code,inputCheck.message,Server source: onCreateMeterLifecycleInstructionCallable,"buildFailureResult(inputCheck.code, inputCheck.message)",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-078,ireps-web-normalisation/functions/meterLifecycle/instructionCallable.js,280
FRM-026-E007,dynamic code,assignmentCheck.message,Server source: onCreateMeterLifecycleInstructionCallable,"buildFailureResult(
          assignmentCheck.code,
          assignmentCheck.message,
          {
            trnId,
            trnType,
            astId,
          },
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-078,ireps-web-normalisation/functions/meterLifecycle/instructionCallable.js,300
FRM-026-E008,INSTRUCTION_MEDIA_REQUIRED,Instruction media is required when assignment.instruction.mediaRequired is true,Server source: onCreateMeterLifecycleInstructionCallable,"buildFailureResult(
          ""INSTRUCTION_MEDIA_REQUIRED"",
          ""Instruction media is required when assignment.instruction.mediaRequired is true"",
          {
            trnId,
            trnType,
            astId,
          },
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-078,ireps-web-normalisation/functions/meterLifecycle/instructionCallable.js,323
FRM-026-E009,TRN_ALREADY_EXISTS,A TRN with this id already exists,Server source: onCreateMeterLifecycleInstructionCallable,"buildFailureResult(
            ""TRN_ALREADY_EXISTS"",
            ""A TRN with this id already exists"",
            {
              trnId,
              trnType,
              astId,
            },
          )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-078,ireps-web-normalisation/functions/meterLifecycle/instructionCallable.js,355
FRM-026-E010,AST_NOT_FOUND,The referenced AST does not exist,Server source: onCreateMeterLifecycleInstructionCallable,"buildFailureResult(
            ""AST_NOT_FOUND"",
            ""The referenced AST does not exist"",
            {
              trnId,
              trnType,
              astId,
            },
          )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-078,ireps-web-normalisation/functions/meterLifecycle/instructionCallable.js,369
FRM-026-E011,PREMISE_NOT_FOUND,The referenced premise does not exist,Server source: onCreateMeterLifecycleInstructionCallable,"buildFailureResult(
            ""PREMISE_NOT_FOUND"",
            ""The referenced premise does not exist"",
            {
              trnId,
              trnType,
              astId,
              premiseId,
            },
          )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-078,ireps-web-normalisation/functions/meterLifecycle/instructionCallable.js,383
FRM-026-E012,ACTIVE_LCT_ALREADY_EXISTS,This meter already has an active lifecycle instruction of this type,Server source: onCreateMeterLifecycleInstructionCallable,"buildFailureResult(
            ""ACTIVE_LCT_ALREADY_EXISTS"",
            ""This meter already has an active lifecycle instruction of this type"",
            {
              trnId,
              trnType,
              astId,
              existingTrnId: existingDoc.id,
              existingWorkflowState: existingData?.workflow?.state || ""NAv"",
            },
          )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-078,ireps-web-normalisation/functions/meterLifecycle/instructionCallable.js,401
