error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-017-E001,LOCAL_MESSAGE,"{
          path: ""accessData.access.reasonSelect"",
          message: ""No-access reason is required"",
        }",Client source: ,"this.createError({
          path: ""accessData.access.reasonSelect"",
          message: ""No-access reason is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-024,ireps-mobile/app/(tabs)/asts/disconnection.jsx,483
FRM-017-E002,LOCAL_MESSAGE,"{
          path: ""media"",
          message: ""No access photo is required"",
        }",Client source: ,"this.createError({
          path: ""media"",
          message: ""No access photo is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-024,ireps-mobile/app/(tabs)/asts/disconnection.jsx,490
FRM-017-E003,LOCAL_MESSAGE,"{
        path: ""disconnection.level"",
        message: ""Disconnection level is required"",
      }",Client source: ,"this.createError({
        path: ""disconnection.level"",
        message: ""Disconnection level is required"",
      })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-024,ireps-mobile/app/(tabs)/asts/disconnection.jsx,500
FRM-017-E004,LOCAL_MESSAGE,"{
        path: ""media"",
        message: ""Disconnection level evidence required"",
      }",Client source: ,"this.createError({
        path: ""media"",
        message: ""Disconnection level evidence required"",
      })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-024,ireps-mobile/app/(tabs)/asts/disconnection.jsx,508
FRM-017-E005,LOCAL_MESSAGE,Could not open this instruction media item.,Client source: openActiveMediaExternal,"Alert.alert(
        ""Open Media Failed"",
        ""Could not open this instruction media item."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-024,ireps-mobile/app/(tabs)/asts/disconnection.jsx,622
FRM-017-E006,LOCAL_SAVE_ONLY,Saved locally only. Not submitted.,Client source: saveDraftToQueue,"{
            success: false,
            code: ""LOCAL_SAVE_ONLY"",
            message: ""Saved locally only. Not submitted."",
            trnId: cleanPayload?.id || instructionTrnId || ""NAv"",
          }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-024,ireps-mobile/app/(tabs)/asts/disconnection.jsx,1426
FRM-017-E007,LOCAL_MESSAGE,Failed to save disconnection draft locally.,Client source: saveDraftToQueue,"Alert.alert(
        ""Draft Save Failed"",
        ""Failed to save disconnection draft locally."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-024,ireps-mobile/app/(tabs)/asts/disconnection.jsx,1452
FRM-017-E008,LOCAL_MESSAGE,"error?.message || ""Failed to save this DCN form locally.""",Client source: handleSaveDisconnection,"Alert.alert(
        ""Save Failed"",
        error?.message || ""Failed to save this DCN form locally."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-024,ireps-mobile/app/(tabs)/asts/disconnection.jsx,1487
FRM-017-E009,LOCAL_MESSAGE,This DCN execution form must be opened from an accepted WMS instruction.,Client source: handleSubmitDisconnection,"Alert.alert(
        ""Missing Instruction"",
        ""This DCN execution form must be opened from an accepted WMS instruction."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-024,ireps-mobile/app/(tabs)/asts/disconnection.jsx,1662
FRM-017-E010,LOCAL_MESSAGE,AST data not found.,Client source: handleSubmitDisconnection,"Alert.alert(""Error"", ""AST data not found."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-024,ireps-mobile/app/(tabs)/asts/disconnection.jsx,1670
