error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-028-E001,LOCAL_MESSAGE,The premise could not be joined to this meter. Please try again.,Client source: WorkorderManagementSystem,"Alert.alert(
          ""Targeted Batch Row Not Ready"",
          ""The premise could not be joined to this meter. Please try again."",
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-010,ireps-mobile/app/(tabs)/admin/operations/my-workorders.js,1016
FRM-028-E002,LOCAL_MESSAGE,My Workorders is only available to FWR and SPV(SUBC) users.,Client source: WorkorderManagementSystem,"Alert.alert(
      ""WMS Access Blocked"",
      ""My Workorders is only available to FWR and SPV(SUBC) users."",
      [
        {
          text: ""OK"",
          onPress: () => {
            if (router?.canGoBack?.()) {
              router.back();
            }
          },
        },
      ],
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-010,ireps-mobile/app/(tabs)/admin/operations/my-workorders.js,1205
FRM-028-E003,LOCAL_MESSAGE,"currentRow ? ""Targeted Batch no longer available."" : ""Targeted Batch row no longer available.""",Client source: WorkorderManagementSystem,"Alert.alert(currentRow ? ""Targeted Batch no longer available."" : ""Targeted Batch row no longer available."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-010,ireps-mobile/app/(tabs)/admin/operations/my-workorders.js,1547
FRM-028-E004,LOCAL_MESSAGE,The row linkage changed while the action was preparing. Please try again.,Client source: WorkorderManagementSystem,"Alert.alert(""Targeted Batch row changed"", ""The row linkage changed while the action was preparing. Please try again."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-010,ireps-mobile/app/(tabs)/admin/operations/my-workorders.js,1552
FRM-028-E005,LOCAL_MESSAGE,"becameCompletedWithoutPremise
            ? ""This meter became Completed while it was opening. Tap Premise again to open its premise.""
            : TARGETED_BATCH_COMPLETED_MESSAGE",Client source: WorkorderManagementSystem,"Alert.alert(
          TARGETED_BATCH_COMPLETED_TITLE,
          becameCompletedWithoutPremise
            ? ""This meter became Completed while it was opening. Tap Premise again to open its premise.""
            : TARGETED_BATCH_COMPLETED_MESSAGE,
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-010,ireps-mobile/app/(tabs)/admin/operations/my-workorders.js,1574
FRM-028-E006,LOCAL_MESSAGE,TARGETED_BATCH_NOT_IN_WORK_ORDERS_MESSAGE,Client source: WorkorderManagementSystem,"Alert.alert(
          TARGETED_BATCH_NOT_IN_WORK_ORDERS_TITLE,
          TARGETED_BATCH_NOT_IN_WORK_ORDERS_MESSAGE,
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-010,ireps-mobile/app/(tabs)/admin/operations/my-workorders.js,1597
FRM-028-E007,LOCAL_MESSAGE,TARGETED_BATCH_SALES_NOT_READABLE_MESSAGE,Client source: WorkorderManagementSystem,"Alert.alert(
          TARGETED_BATCH_SALES_NOT_READABLE_TITLE,
          TARGETED_BATCH_SALES_NOT_READABLE_MESSAGE,
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-010,ireps-mobile/app/(tabs)/admin/operations/my-workorders.js,1617
FRM-028-E008,LOCAL_MESSAGE,"`Meter ${lookup.meterNo || ""of this row""} could not be looked up. ${
              connectionFailed
                ? ""Check your connection and try again.""
                : ""Try again; if it keeps failing, tell the office.""
            }`",Client source: WorkorderManagementSystem,"Alert.alert(
            ""Meter not looked up"",
            `Meter ${lookup.meterNo || ""of this row""} could not be looked up. ${
              connectionFailed
                ? ""Check your connection and try again.""
                : ""Try again; if it keeps failing, tell the office.""
            }`,
          )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-010,ireps-mobile/app/(tabs)/admin/operations/my-workorders.js,1651
FRM-028-E009,LOCAL_MESSAGE,"foundMeterMessage(choice, lookup.meterNo)",Client source: WorkorderManagementSystem,"Alert.alert(""Meter found outside this batch"", foundMeterMessage(choice, lookup.meterNo))",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-010,ireps-mobile/app/(tabs)/admin/operations/my-workorders.js,1667
FRM-028-E010,LOCAL_MESSAGE,"`Meter ${lookup.meterNo || ""of this row""} was found outside this batch, and its record has no premise.`",Client source: WorkorderManagementSystem,"Alert.alert(
              ""No premise"",
              `Meter ${lookup.meterNo || ""of this row""} was found outside this batch, and its record has no premise.`,
            )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-010,ireps-mobile/app/(tabs)/admin/operations/my-workorders.js,1685
