error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-018-E001,LOCAL_MESSAGE,"{
          path: ""accessData.access.reasonSelect"",
          message: ""No-access reason is required"",
        }",Client source: ,"this.createError({
          path: ""accessData.access.reasonSelect"",
          message: ""No-access reason is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-027,ireps-mobile/app/(tabs)/asts/reconnection.jsx,441
FRM-018-E002,LOCAL_MESSAGE,"{
          path: ""media"",
          message: ""No access photo is required"",
        }",Client source: ,"this.createError({
          path: ""media"",
          message: ""No access photo is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-027,ireps-mobile/app/(tabs)/asts/reconnection.jsx,448
FRM-018-E003,LOCAL_MESSAGE,"{
        path: ""media"",
        message: ""The photo showing the supply is back on is required"",
      }",Client source: ,"this.createError({
        path: ""media"",
        message: ""The photo showing the supply is back on is required"",
      })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-027,ireps-mobile/app/(tabs)/asts/reconnection.jsx,458
FRM-018-E004,LOCAL_MESSAGE,Could not open this instruction media item.,Client source: openActiveMediaExternal,"Alert.alert(
        ""Open Media Failed"",
        ""Could not open this instruction media item."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-027,ireps-mobile/app/(tabs)/asts/reconnection.jsx,571
FRM-018-E005,LOCAL_SAVE_ONLY,Saved locally only. Not submitted.,Client source: saveDraftToQueue,"{
            success: false,
            code: ""LOCAL_SAVE_ONLY"",
            message: ""Saved locally only. Not submitted."",
            trnId: cleanPayload?.id || instructionTrnId || ""NAv"",
          }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-027,ireps-mobile/app/(tabs)/asts/reconnection.jsx,1300
FRM-018-E006,LOCAL_MESSAGE,Failed to save reconnection draft locally.,Client source: saveDraftToQueue,"Alert.alert(
        ""Draft Save Failed"",
        ""Failed to save reconnection draft locally."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-027,ireps-mobile/app/(tabs)/asts/reconnection.jsx,1326
FRM-018-E007,LOCAL_MESSAGE,"error?.message || ""Failed to save this RCN form locally.""",Client source: handleSaveReconnection,"Alert.alert(
        ""Save Failed"",
        error?.message || ""Failed to save this RCN form locally."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-027,ireps-mobile/app/(tabs)/asts/reconnection.jsx,1361
FRM-018-E008,LOCAL_MESSAGE,This RCN execution form must be opened from an accepted WMS instruction.,Client source: handleSubmitReconnection,"Alert.alert(
        ""Missing Instruction"",
        ""This RCN execution form must be opened from an accepted WMS instruction."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-027,ireps-mobile/app/(tabs)/asts/reconnection.jsx,1547
FRM-018-E009,LOCAL_MESSAGE,AST data not found.,Client source: handleSubmitReconnection,"Alert.alert(""Error"", ""AST data not found."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-027,ireps-mobile/app/(tabs)/asts/reconnection.jsx,1555
FRM-018-E010,LOCAL_MESSAGE,Only DISCONNECTED meters can be reconnected.,Client source: handleSubmitReconnection,"Alert.alert(
        ""Not Eligible"",
        ""Only DISCONNECTED meters can be reconnected."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-027,ireps-mobile/app/(tabs)/asts/reconnection.jsx,1560
