field_id,label,component,binding,description,input_type,prerequisites,requirement,allowed_values,validation,default,disabled,transformation,storage_mapping,source_id,source_path,line
FRM-032-C001,ZA2157,input,lmPcode,Source control for ZA2157; interpret in the business definitions and its enclosing section.,input,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => setLmPcode(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-157,ireps-web/src/pages/admin/MreadStagingControllerPage.jsx,160
FRM-032-C002,billingPeriod,select,billingPeriod,Source control for billingPeriod; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => setBillingPeriod(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-157,ireps-web/src/pages/admin/MreadStagingControllerPage.jsx,170
FRM-032-C003,"Cycle, window, staging id...",input,search,"Source control for Cycle, window, staging id...; interpret in the business definitions and its enclosing section.",input,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => setSearch(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-157,ireps-web/src/pages/admin/MreadStagingControllerPage.jsx,184
FRM-032-C004,placeholder,input,value,Source control for placeholder; interpret in the business definitions and its enclosing section.,input,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => onChange(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-176,ireps-web/src/pages/registries/MreadRegistryPage.jsx,958
FRM-032-C005,value,select,value,Source control for value; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => onChange(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-176,ireps-web/src/pages/registries/MreadRegistryPage.jsx,969
FRM-032-C006,safeLmPcode,input,safeLmPcode,Source control for safeLmPcode; interpret in the business definitions and its enclosing section.,input,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-176,ireps-web/src/pages/registries/MreadRegistryPage.jsx,1914
FRM-032-C007,billingPeriod,select,billingPeriod,Source control for billingPeriod; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => setBillingPeriod(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-176,ireps-web/src/pages/registries/MreadRegistryPage.jsx,1919
FRM-032-C008,"Cycle, window, base cycle...",input,search,"Source control for Cycle, window, base cycle...; interpret in the business definitions and its enclosing section.",input,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => setSearch(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-176,ireps-web/src/pages/registries/MreadRegistryPage.jsx,1934
FRM-032-C009,pageSize,select,pageSize,Source control for pageSize; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => onPageSizeChange(Number(event.target.value)),UI binding shown; persisted path must be verified against payload builder,FS-176,ireps-web/src/pages/registries/MreadRegistryPage.jsx,2184
FRM-032-C010,"draftFilter.startDate || """"",input,"draftFilter.startDate || """"","Source control for draftFilter.startDate || """"; interpret in the business definitions and its enclosing section.",date,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) =>
                  updateDate(""startDate"", event.target.value)",UI binding shown; persisted path must be verified against payload builder,FS-176,ireps-web/src/pages/registries/MreadRegistryPage.jsx,2321
