error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-011-E001,LOCAL_MESSAGE,Premise id is required to save this draft.,Client source: handleSaveDraft,"Alert.alert(""Missing Premise"", ""Premise id is required to save this draft."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,800
FRM-011-E002,LOCAL_MESSAGE,The form is still empty. Capture account data before saving a local draft.,Client source: handleSaveDraft,"Alert.alert(
        ""Nothing to Save"",
        ""The form is still empty. Capture account data before saving a local draft."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,805
FRM-011-E003,LOCAL_MESSAGE,Capture at least one municipal account number before saving a local draft.,Client source: handleSaveDraft,"Alert.alert(
        ""Missing Account Number"",
        ""Capture at least one municipal account number before saving a local draft."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,813
FRM-011-E004,LOCAL_MESSAGE,"result?.message || ""Account data draft saved locally.""",Client source: handleSaveDraft,"Alert.alert(
        ""Draft Saved"",
        result?.message || ""Account data draft saved locally."",
        [
          {
            text: ""OK"",
            onPress: () => router.replace(""/(tabs)/premises""),
          },
        ],
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,833
FRM-011-E005,LOCAL_MESSAGE,"result?.message || ""Failed to save account data draft.""",Client source: handleSaveDraft,"Alert.alert(
      ""Draft Save Failed"",
      result?.message || ""Failed to save account data draft."",
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,846
FRM-011-E006,LOCAL_MESSAGE,This will clear the current edit form and open a clean account capture form.,Client source: handleAddAccountFromHeader,"Alert.alert(
        ""Start New Account Capture?"",
        ""This will clear the current edit form and open a clean account capture form."",
        [
          { text: ""CANCEL"", style: ""cancel"" },
          {
            text: ""CONTINUE"",
            onPress: () => {
              const blankValues = buildInitialValues();
              setEditAccountMasterId("""");
              setFormMode(""CREATE"");
              setDraftValues(blankValues);
              resetForm({
                values: blankValues,
                touched: { accounts: [{ accountNo: true }] },
              });
              setTimeout(() => validateForm?.(blankValues), 0);
            },
          },
        ],
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,861
FRM-011-E007,LOCAL_MESSAGE,"This will clear all captured account data, media, draft values, and edit mode for this premise.",Client source: handleResetAccountDataForm,"Alert.alert(
      ""Reset Form?"",
      ""This will clear all captured account data, media, draft values, and edit mode for this premise."",
      [
        { text: ""CANCEL"", style: ""cancel"" },
        {
          text: ""YES, RESET"",
          style: ""destructive"",
          onPress: async () => {
            const blankValues = buildInitialValues();
            setEditAccountMasterId("""");
            setFormMode(""CLOSED"");
            setDraftValues(blankValues);
            await removeAccountDataDraftByPremiseId(premiseId);
            resetForm({ values: blankValues });
          },
        },
      ],
      { cancelable: true },
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,917
FRM-011-E008,LOCAL_MESSAGE,No existing owner data is available for this premise yet.,Client source: handleUseExistingOwner,"Alert.alert(
        ""No Existing Owner"",
        ""No existing owner data is available for this premise yet."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,941
FRM-011-E009,LOCAL_MESSAGE,This will copy the existing owner details into the owner fields. You can still edit the fields after copying.,Client source: handleUseExistingOwner,"Alert.alert(
      ""Use Existing Owner?"",
      ""This will copy the existing owner details into the owner fields. You can still edit the fields after copying."",
      [
        { text: ""CANCEL"", style: ""cancel"" },
        {
          text: ""COPY"",
          onPress: () => {
            const ownerValues = buildOwnerValuesFromAccountMaster(
              latestOwnerAccountMaster,
            );

            setFieldValue(""owner"", ownerValues);
          },
        },
      ],
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,948
FRM-011-E010,LOCAL_MESSAGE,"result?.message || ""Failed to save account data to local queue.""",Client source: saveSubmissionToLocalQueue,"Alert.alert(
      ""Submit Failed"",
      result?.message || ""Failed to save account data to local queue."",
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,988
