error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-009-E001,LOCAL_MESSAGE,Your details were not saved. Check your signal and try again.,Client source: handleSaveProfile,"Alert.alert(
        ""Not saved"",
        ""Your details were not saved. Check your signal and try again."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-003,ireps-mobile-email/app/(tabs)/admin/user/user-settings.js,76
FRM-009-E002,LOCAL_MESSAGE,message,Client source: sendEmailLink,"Alert.alert(title, message)",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-003,ireps-mobile-email/app/(tabs)/admin/user/user-settings.js,92
FRM-009-E003,LOCAL_MESSAGE,message,Client source: sendEmailLink,"Alert.alert(title, message)",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-003,ireps-mobile-email/app/(tabs)/admin/user/user-settings.js,95
FRM-009-E004,LOCAL_MESSAGE,problem.message,Client source: handleChangeEmail,"Alert.alert(problem.title, problem.message)",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-003,ireps-mobile-email/app/(tabs)/admin/user/user-settings.js,105
FRM-009-E005,LOCAL_MESSAGE,Type the password you sign in with.,Client source: handleChangeEmail,"Alert.alert(""Password needed"", ""Type the password you sign in with."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-003,ireps-mobile-email/app/(tabs)/admin/user/user-settings.js,110
FRM-009-E006,LOCAL_MESSAGE,`From: ${signInEmail}\nTo: ${email}\n\nYour sign-in email changes only when you open the link in the new inbox.`,Client source: handleChangeEmail,"Alert.alert(
      ""Send a link to the new email?"",
      `From: ${signInEmail}\nTo: ${email}\n\nYour sign-in email changes only when you open the link in the new inbox.`,
      [
        { text: ""Cancel"", style: ""cancel"" },
        { text: ""Send link"", onPress: () => sendEmailLink(email) },
      ],
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-003,ireps-mobile-email/app/(tabs)/admin/user/user-settings.js,114
FRM-009-E007,"String(error?.code || """")","String(error?.message || fallbackMessage || """").trim() || fallbackMessage",Client source: plainAuthError,"{
    code: String(error?.code || """"),
    message: String(error?.message || fallbackMessage || """").trim() || fallbackMessage,
  }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-004,ireps-mobile-email/src/redux/authApi.js,56
FRM-009-E008,auth/requires-recent-login,Sign in again.,Client source: ,"{ code: ""auth/requires-recent-login"", message: ""Sign in again."" }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-004,ireps-mobile-email/src/redux/authApi.js,478
FRM-009-E009,invalid-argument,"`${label} must be one of ${VALID_USER_ROLES.join("", "")}.`",Server source: assertValidRole,"new HttpsError(
      ""invalid-argument"",
      `${label} must be one of ${VALID_USER_ROLES.join("", "")}.`,
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-064,ireps-web-email/functions/users/helpers.js,58
FRM-009-E010,permission-denied,"Only SPU, ADM or MNG may change user roles.",Server source: assertRoleManager,"new HttpsError(
      ""permission-denied"",
      ""Only SPU, ADM or MNG may change user roles."",
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-064,ireps-web-email/functions/users/helpers.js,71
