error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-013-E001,LOCAL_MESSAGE,"{ message: ""No Access photo required"" }",Client source: FormMeterInstallation,"this.createError({ message: ""No Access photo required"" })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,621
FRM-013-E002,LOCAL_MESSAGE,"{ message: ""Meter photo required"" }",Client source: FormMeterInstallation,"this.createError({ message: ""Meter photo required"" })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,627
FRM-013-E003,LOCAL_MESSAGE,"{ message: ""Meter reading photo required"" }",Client source: FormMeterInstallation,"this.createError({ message: ""Meter reading photo required"" })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,636
FRM-013-E004,LOCAL_MESSAGE,"{ message: ""Token reading photo required"" }",Client source: FormMeterInstallation,"this.createError({ message: ""Token reading photo required"" })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,644
FRM-013-E005,LOCAL_MESSAGE,"{ message: ""Anomaly photo required"" }",Client source: FormMeterInstallation,"this.createError({ message: ""Anomaly photo required"" })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,652
FRM-013-E006,LOCAL_MESSAGE,Other Keypad Serial Number Reason is required,Client source: FormMeterInstallation,"object()
            .shape({
              serialNo: string().nullable(),
              comment: string().nullable(),
              commentOther: string().nullable(),
            })
            .test(
              ""prepaid-keypad-comment-valid"",
              ""Select a valid Keypad Serial Number Comment"",
              (value, context) => {
                if (context.parent?.type !== ""prepaid"") return true;

                const hasSerialNumber = !!String(value?.serialNo || """").trim();
                const comment = String(value?.comment || """").trim();

                if (hasSerialNumber || !comment) return true;
                if (KEYPAD_SERIAL_NUMBER_COMMENT_REASONS.includes(comment)) {
                  return true;
                }

                return context.createError({
                  path: context.path + "".comment"",
                  message: ""Select a valid Keypad Serial Number Comment"",
                });
              },
            )
            .test(
              ""prepaid-keypad-other-reason"",
              ""Other Keypad Serial Number Reason is required"",
              (value, context) => {
                if (context.parent?.type !== ""prepaid"") return true;

                const hasSerialNumber = !!String(value?.serialNo || """").trim();
                const comment = String(value?.comment || """").trim();

                if (hasSerialNumber || comment !== ""Other"") return true;
                if (String(value",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,727
FRM-013-E007,LOCAL_MESSAGE,"{
                  path: context.path + "".comment"",
                  message: ""Select a valid Keypad Serial Number Comment"",
                }",Client source: FormMeterInstallation,"context.createError({
                  path: context.path + "".comment"",
                  message: ""Select a valid Keypad Serial Number Comment"",
                })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,747
FRM-013-E008,LOCAL_MESSAGE,"{
                  path: context.path + "".commentOther"",
                  message: ""Other Keypad Serial Number Reason is required"",
                }",Client source: FormMeterInstallation,"context.createError({
                  path: context.path + "".commentOther"",
                  message: ""Other Keypad Serial Number Reason is required"",
                })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,765
FRM-013-E009,LOCAL_MESSAGE,Other Circuit Breaker Reason is required,Client source: FormMeterInstallation,"object()
            .shape({
              size: string().nullable(),
              comment: string().nullable(),
              commentOther: string().nullable(),
            })
            .test(
              ""cb-comment-valid"",
              ""Select a valid CB Comment"",
              (value, context) => {
                const hasSize = !!String(value?.size || """").trim();
                const comment = String(value?.comment || """").trim();

                if (hasSize || !comment) return true;
                if (CB_COMMENT_REASONS.includes(comment)) return true;

                return context.createError({
                  path: context.path + "".comment"",
                  message: ""Select a valid CB Comment"",
                });
              },
            )
            .test(
              ""cb-other-reason"",
              ""Other Circuit Breaker Reason is required"",
              (value, context) => {
                const hasSize = !!String(value?.size || """").trim();
                const comment = String(value?.comment || """").trim();

                if (hasSize || comment !== ""Other"") return true;
                if (String(value?.commentOther || """").trim()) return true;

                return context.createError({
                  path: context.path + "".commentOther"",
                  message: ""Other Circuit Breaker Reason is required"",
                });
              },
            )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,772
FRM-013-E010,LOCAL_MESSAGE,"{
                  path: context.path + "".comment"",
                  message: ""Select a valid CB Comment"",
                }",Client source: FormMeterInstallation,"context.createError({
                  path: context.path + "".comment"",
                  message: ""Select a valid CB Comment"",
                })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,788
FRM-013-E011,LOCAL_MESSAGE,"{
                  path: context.path + "".commentOther"",
                  message: ""Other Circuit Breaker Reason is required"",
                }",Client source: FormMeterInstallation,"context.createError({
                  path: context.path + "".commentOther"",
                  message: ""Other Circuit Breaker Reason is required"",
                })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,804
FRM-013-E012,LOCAL_MESSAGE,"{ message: ""No Access photo required"" }",Client source: FormMeterInstallation,"this.createError({ message: ""No Access photo required"" })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,860
FRM-013-E013,LOCAL_MESSAGE,"{ message: ""Meter No. photo required"" }",Client source: FormMeterInstallation,"this.createError({ message: ""Meter No. photo required"" })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,864
FRM-013-E014,LOCAL_MESSAGE,"{ message: ""Seal photo required"" }",Client source: FormMeterInstallation,"this.createError({ message: ""Seal photo required"" })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,877
FRM-013-E015,LOCAL_MESSAGE,"{
              message: ""Keypad photo required"",
            }",Client source: FormMeterInstallation,"this.createError({
              message: ""Keypad photo required"",
            })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,894
FRM-013-E016,LOCAL_MESSAGE,"{
              message: ""Circuit Breaker photo required"",
            }",Client source: FormMeterInstallation,"this.createError({
              message: ""Circuit Breaker photo required"",
            })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,906
FRM-013-E017,LOCAL_MESSAGE,"{
              message: ""Off-Grid Supply photo required"",
            }",Client source: FormMeterInstallation,"this.createError({
              message: ""Off-Grid Supply photo required"",
            })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,915
FRM-013-E018,LOCAL_MESSAGE,"{ message: ""Anomaly photo required"" }",Client source: FormMeterInstallation,"this.createError({ message: ""Anomaly photo required"" })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,924
FRM-013-E019,LOCAL_MESSAGE,Premise data not found.,Client source: handleSubmitInstallation,"Alert.alert(""Error"", ""Premise data not found."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,1094
FRM-013-E020,NAv,NAv,Client source: saveMeterDraftToQueue,"{
                success: false,
                code: ""NAv"",
                message: ""NAv"",
                trnId: ""NAv"",
              }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,1275
FRM-013-E021,LOCAL_MESSAGE,Failed to save meter Installation draft locally.,Client source: saveMeterDraftToQueue,"Alert.alert(
            ""Draft Save Failed"",
            ""Failed to save meter Installation draft locally."",
          )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,1300
FRM-013-E022,LOCAL_MESSAGE,messageBody,Client source: saveMeterDraftToQueue,"Alert.alert(messageTitle, messageBody)",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,1307
FRM-013-E023,LOCAL_MESSAGE,"error?.message || ""Meter Installation submission failed.""",Client source: handleSubmitInstallation,"Alert.alert(
          ""Submission Failed"",
          error?.message || ""Meter Installation submission failed."",
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,1434
FRM-013-E024,LOCAL_MESSAGE,"result?.message || ""Meter Installation submission failed.""",Client source: handleSubmitInstallation,"Alert.alert(
          result?.code === ""DUPLICATE_METER""
            ? ""Duplicate Meter""
            : ""Submission Failed"",
          result?.message || ""Meter Installation submission failed."",
        )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-042,ireps-mobile/src/features/meters/FormMeterIstallation.js,1453
