field_id,label,component,binding,description,input_type,prerequisites,requirement,allowed_values,validation,default,disabled,transformation,storage_mapping,source_id,source_path,line
FRM-009-C001,New email address,TextInput,newEmail,New sign-in identifier.,email-address,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,!isSendingLink,setNewEmail,UI binding shown; persisted path must be verified against payload builder,FS-003,ireps-mobile-email/app/(tabs)/admin/user/user-settings.js,252
FRM-009-C002,Your password,TextInput,currentPassword,Source control for Your password; interpret in the business definitions and its enclosing section.,TextInput,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,!isSendingLink,setCurrentPassword,UI binding shown; persisted path must be verified against payload builder,FS-003,ireps-mobile-email/app/(tabs)/admin/user/user-settings.js,265
FRM-009-C003,`Enter ${label}`,TextInput,value,Source control for `Enter ${label}`; interpret in the business definitions and its enclosing section.,TextInput,conditional branch: isEditing,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,onChangeText,UI binding shown; persisted path must be verified against payload builder,FS-003,ireps-mobile-email/app/(tabs)/admin/user/user-settings.js,367
FRM-009-C004,newRole,select,newRole,Source control for newRole; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,"isSaving || feedback?.type === ""success""","(event) => {
                setNewRole(event.target.value);
                setFeedback(null);
              }",UI binding shown; persisted path must be verified against payload builder,FS-067,ireps-web-email/src/pages/users/UsersPage.jsx,470
FRM-009-C005,newStatus,select,newStatus,Source control for newStatus; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => setNewStatus(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-067,ireps-web-email/src/pages/users/UsersPage.jsx,568
FRM-009-C006,placeholder,input,value,Source control for placeholder; interpret in the business definitions and its enclosing section.,input,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => onChange(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-067,ireps-web-email/src/pages/users/UsersPage.jsx,750
FRM-009-C007,value,select,value,Source control for value; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => onChange(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-067,ireps-web-email/src/pages/users/UsersPage.jsx,761
FRM-009-C008,pageSize,select,pageSize,Source control for pageSize; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => onPageSizeChange(Number(event.target.value)),UI binding shown; persisted path must be verified against payload builder,FS-067,ireps-web-email/src/pages/users/UsersPage.jsx,813
FRM-009-C009,Search name or email...,input,searchText,Source control for Search name or email...; interpret in the business definitions and its enclosing section.,search,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) => {
            setCurrentPage(1);
            setSearchText(event.target.value);
          }",UI binding shown; persisted path must be verified against payload builder,FS-067,ireps-web-email/src/pages/users/UsersPage.jsx,1285
FRM-009-C010,roleFilter,select,roleFilter,Source control for roleFilter; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) => {
            setCurrentPage(1);
            setRoleFilter(event.target.value);
          }",UI binding shown; persisted path must be verified against payload builder,FS-067,ireps-web-email/src/pages/users/UsersPage.jsx,1297
