error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-029-E001,LOCAL_MESSAGE,,Client source: TargetedBatchAllocationMapPage,"setError("""")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-163,ireps-web/src/pages/operations/TargetedBatchAllocationMapPage.jsx,209
FRM-029-E002,LOCAL_MESSAGE,,Client source: chooseTarget,"setError("""")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-163,ireps-web/src/pages/operations/TargetedBatchAllocationMapPage.jsx,212
FRM-029-E003,LOCAL_MESSAGE,,Client source: allocate,"setError("""")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-163,ireps-web/src/pages/operations/TargetedBatchAllocationMapPage.jsx,226
FRM-029-E004,LOCAL_MESSAGE,,Client source: confirmAllocate,"setError("""")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-163,ireps-web/src/pages/operations/TargetedBatchAllocationMapPage.jsx,242
FRM-029-E005,LOCAL_MESSAGE,`Nothing was allocated. ${view.lines[0]}`,Client source: closeAllocationWindow,setError(`Nothing was allocated. ${view.lines[0]}`),Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-163,ireps-web/src/pages/operations/TargetedBatchAllocationMapPage.jsx,256
FRM-029-E006,LOCAL_MESSAGE,Allocation not confirmed. Check the map before allocating again.,Client source: closeAllocationWindow,"setError(""Allocation not confirmed. Check the map before allocating again."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-163,ireps-web/src/pages/operations/TargetedBatchAllocationMapPage.jsx,257
FRM-029-E007,INVALID_TARGETED_BATCH_ID,tbId is required.,Server source: onAcceptRejectTargetedBatchCallable,"buildFailureResult(
        ""INVALID_TARGETED_BATCH_ID"",
        ""tbId is required."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-120,ireps-web/functions/targetedBatches/acceptanceCallable.js,367
FRM-029-E008,INVALID_TARGETED_BATCH_ACTION,action must be ACCEPT or REJECT.,Server source: onAcceptRejectTargetedBatchCallable,"buildFailureResult(
        ""INVALID_TARGETED_BATCH_ACTION"",
        ""action must be ACCEPT or REJECT."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-120,ireps-web/functions/targetedBatches/acceptanceCallable.js,374
FRM-029-E009,TARGETED_BATCH_REJECT_REASON_REQUIRED,Reject reason is required when rejecting a Targeted Batch.,Server source: onAcceptRejectTargetedBatchCallable,"buildFailureResult(
        ""TARGETED_BATCH_REJECT_REASON_REQUIRED"",
        ""Reject reason is required when rejecting a Targeted Batch."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-120,ireps-web/functions/targetedBatches/acceptanceCallable.js,381
FRM-029-E010,code,message,Server source: onAcceptRejectTargetedBatchCallable,"{
      tbId,
      action,
      actorUid: actor?.uid || null,
      code,
      message,
      details: error?.details || null,
      durationMs: Date.now() - startedAtMs,
    }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-120,ireps-web/functions/targetedBatches/acceptanceCallable.js,534
