error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-015-E001,LOCAL_MESSAGE,"{
            path: ""accessData.access.reasonSelect"",
            message: ""No-access reason is required"",
          }",Client source: ,"this.createError({
            path: ""accessData.access.reasonSelect"",
            message: ""No-access reason is required"",
          })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,652
FRM-015-E002,LOCAL_MESSAGE,"{
            path: ""media"",
            message: ""No access photo is required"",
          }",Client source: ,"this.createError({
            path: ""media"",
            message: ""No access photo is required"",
          })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,659
FRM-015-E003,LOCAL_MESSAGE,"{
            path: ""meterReading.reading"",
            message: ""Meter reading is required"",
          }",Client source: ,"this.createError({
            path: ""meterReading.reading"",
            message: ""Meter reading is required"",
          })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,677
FRM-015-E004,LOCAL_MESSAGE,"{
            path: ""meterReading.noReadingReason"",
            message: ""No-reading reason is required"",
          }",Client source: ,"this.createError({
            path: ""meterReading.noReadingReason"",
            message: ""No-reading reason is required"",
          })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,684
FRM-015-E005,LOCAL_MESSAGE,"{
          path: ""meterReading.readingAt"",
          message: ""Reading timestamp was not captured. Re-enter the reading."",
        }",Client source: ,"this.createError({
          path: ""meterReading.readingAt"",
          message: ""Reading timestamp was not captured. Re-enter the reading."",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,692
FRM-015-E006,LOCAL_MESSAGE,"{
          path: ""meterReading.readingGps"",
          message: ""Reading GPS is required"",
        }",Client source: ,"this.createError({
          path: ""meterReading.readingGps"",
          message: ""Reading GPS is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,699
FRM-015-E007,LOCAL_MESSAGE,"{
          path: ""media"",
          message: ""Meter reading evidence is required"",
        }",Client source: ,"this.createError({
          path: ""media"",
          message: ""Meter reading evidence is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,706
FRM-015-E008,LOCAL_MESSAGE,"{
          path: ""media"",
          message: ""Token reading photo is required"",
        }",Client source: ,"this.createError({
          path: ""media"",
          message: ""Token reading photo is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,713
FRM-015-E009,LOCAL_MESSAGE,Could not open this instruction media item.,Client source: openActiveMediaExternal,"Alert.alert(
        ""Open Media Failed"",
        ""Could not open this instruction media item."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,887
FRM-015-E010,LOCAL_SAVE_ONLY,Saved locally only. Not submitted.,Client source: saveDraftToQueue,"{
            success: false,
            code: ""LOCAL_SAVE_ONLY"",
            message: ""Saved locally only. Not submitted."",
            trnId: cleanPayload?.id || instructionTrnId || ""NAv"",
          }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,1601
FRM-015-E011,LOCAL_MESSAGE,Failed to save meter reading draft locally.,Client source: saveDraftToQueue,"Alert.alert(
        ""Draft Save Failed"",
        ""Failed to save meter reading draft locally."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,1627
FRM-015-E012,LOCAL_MESSAGE,"error?.message || ""Failed to save this MREAD form locally.""",Client source: handleSaveMeterReading,"Alert.alert(
        ""Save Failed"",
        error?.message || ""Failed to save this MREAD form locally."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-026,ireps-mobile/app/(tabs)/asts/meter-reading.js,1662
