field_id,label,component,binding,description,input_type,prerequisites,requirement,allowed_values,validation,default,disabled,transformation,storage_mapping,source_id,source_path,line
FRM-013-C001,Meter Number,FormInputMeterNo,ast.astData.astNo,Identity of the newly installed physical meter.,FormInputMeterNo,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,167
FRM-013-C002,MANUFACTURER,FormSelect,ast.astData.astManufacturer,Selected make of the installed equipment.,FormSelect,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,"getOptions(""elec_manufacturers"")",Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,"(nextValue) => {
              if (isDiscovery && nextValue !== ""Other"") {
                setFieldValue(""ast.astData.astManufacturerOther"", """", false);
              }
            }",UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,181
FRM-013-C003,Other Manufacturer,FormInput,ast.astData.astManufacturerOther,Selected make of the installed equipment.,FormInput,"isDiscovery &&
            values?.ast?.astData?.astManufacturer === ""Other""",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,194
FRM-013-C004,MODEL (NAME),FormInput,ast.astData.astName,Source control for MODEL (NAME); interpret in the business definitions and its enclosing section.,FormInput,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,201
FRM-013-C005,PHASE,FormSelect,ast.astData.meter.phase,Source control for PHASE; interpret in the business definitions and its enclosing section.,FormSelect,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,"getFormOptions(""meter_phases"")",Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,209
FRM-013-C006,TYPE,FormSelect,ast.astData.meter.type,Source control for TYPE; interpret in the business definitions and its enclosing section.,FormSelect,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,"getFormOptions(""meter_types"")",Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,"(nextValue) => {
                  if (isDiscovery && nextValue === ""conventional"") {
                    setFieldValue(
                      ""ast.astData.meter.remainingCredit"",
                      """",
                      false,
                    );
                    setFieldValue(
                      ""ast.astData.meter.remainingCreditComment"",
                      """",
                      false,
                    );
                    setFieldValue(
                      ""ast.astData.meter.remainingCreditCommentOther"",
                      """",
                      false,
                    );
                    setFieldValue(
                      ""media"",
                      removeRemainingCreditPhoto(values?.media || []),
                      false,
                    );
                  }
                }",UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,220
FRM-013-C007,CATEGORY,FormSelect,ast.astData.meter.category,Source control for CATEGORY; interpret in the business definitions and its enclosing section.,FormSelect,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,"getFormOptions(""meter_categories"")",Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,255
FRM-013-C008,SEAL NO,FormBarcodeInput,ast.astData.meter.seal.sealNo,Source control for SEAL NO; interpret in the business definitions and its enclosing section.,FormBarcodeInput,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,282
FRM-013-C009,Seal Number Comment,FormSelect,ast.astData.meter.seal.comment,Source control for Seal Number Comment; interpret in the business definitions and its enclosing section.,FormSelect,!values?.ast?.astData?.meter?.seal?.sealNo,Not established by control prop alone,"getFormOptions(""seal_number_comment_reasons"")",Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,"(nextValue) => {
                  if (nextValue !== ""Other"") {
                    setFieldValue(
                      ""ast.astData.meter.seal.commentOther"",
                      """",
                      false,
                    );
                  }
                }",UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,291
FRM-013-C010,Other Reason,FormInput,ast.astData.meter.seal.commentOther,Source control for Other Reason; interpret in the business definitions and its enclosing section.,FormInput,"!values?.ast?.astData?.meter?.seal?.sealNo; values?.ast?.astData?.meter?.seal?.comment === ""Other""",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,308
FRM-013-C011,KEYPAD SERIAL NO,FormBarcodeInput,ast.astData.meter.keypad.serialNo,Source control for KEYPAD SERIAL NO; interpret in the business definitions and its enclosing section.,FormBarcodeInput,"values?.ast?.astData?.meter?.type === ""prepaid""",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,329
FRM-013-C012,Keypad Serial Number Comment,FormSelect,ast.astData.meter.keypad.comment,Source control for Keypad Serial Number Comment; interpret in the business definitions and its enclosing section.,FormSelect,"values?.ast?.astData?.meter?.type === ""prepaid""; !values?.ast?.astData?.meter?.keypad?.serialNo",Not established by control prop alone,"getFormOptions(""keypad_serial_number_comment_reasons"")",Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,"(nextValue) => {
                    if (nextValue !== ""Other"") {
                      setFieldValue(
                        ""ast.astData.meter.keypad.commentOther"",
                        """",
                        false,
                      );
                    }
                  }",UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,338
FRM-013-C013,Other Reason,FormInput,ast.astData.meter.keypad.commentOther,Source control for Other Reason; interpret in the business definitions and its enclosing section.,FormInput,"values?.ast?.astData?.meter?.type === ""prepaid""; !values?.ast?.astData?.meter?.keypad?.serialNo; values?.ast?.astData?.meter?.keypad?.comment === ""Other""",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,355
FRM-013-C014,CB SIZE (AMPS),FormInput,ast.astData.meter.cb.size,Source control for CB SIZE (AMPS); interpret in the business definitions and its enclosing section.,numeric,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,375
FRM-013-C015,CB Comment,FormSelect,ast.astData.meter.cb.comment,Source control for CB Comment; interpret in the business definitions and its enclosing section.,FormSelect,!values?.ast?.astData?.meter?.cb?.size,Not established by control prop alone,"getFormOptions(""cb_comment_reasons"")",Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,"(nextValue) => {
                  if (nextValue !== ""Other"") {
                    setFieldValue(
                      ""ast.astData.meter.cb.commentOther"",
                      """",
                      false,
                    );
                  }
                }",UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,383
FRM-013-C016,Other Reason,FormInput,ast.astData.meter.cb.commentOther,Source control for Other Reason; interpret in the business definitions and its enclosing section.,FormInput,"!values?.ast?.astData?.meter?.cb?.size; values?.ast?.astData?.meter?.cb?.comment === ""Other""",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,400
FRM-013-C017,Meter Placement,FormSelect,ast.location.placement,Source control for Meter Placement; interpret in the business definitions and its enclosing section.,FormSelect,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,"getFormOptions(""placements"")",Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,420
FRM-013-C018,Meter GPS Position,SovereignLocationPicker,ast.location.gps,Source control for Meter GPS Position; interpret in the business definitions and its enclosing section.,SovereignLocationPicker,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,426
FRM-013-C019,METER STATUS,FormSelect,status.state,Source control for METER STATUS; interpret in the business definitions and its enclosing section.,FormSelect,isDiscovery,Not established by control prop alone,"getOptions(""meter_statuses"")",Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,443
FRM-013-C020,OFF-GRID SUPPLY?,FormSelect,ast.ogs.hasOffGridSupply,Source control for OFF-GRID SUPPLY?; interpret in the business definitions and its enclosing section.,FormSelect,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,"getFormOptions(""off_grid_supply"")",Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,450
FRM-013-C021,Type the reason,FormInput,ast.normalisation.noActionReasonOther,Source control for Type the reason; interpret in the business definitions and its enclosing section.,FormInput,"showNormalisation; needsReason; values?.ast?.normalisation?.noActionReason ===
                NO_ACTION_REASON_OTHER",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,!disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-035,ireps-mobile/components/forms/ElectricitySections.js,566
FRM-013-C022,Meter Number,FormInputMeterNo,ast.astData.astNo,Identity of the newly installed physical meter.,FormInputMeterNo,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-039,ireps-mobile/components/forms/WaterSections.js,34
FRM-013-C023,Category (Normal/Bulk),FormSelect,ast.astData.meter.category,Source control for Category (Normal/Bulk); interpret in the business definitions and its enclosing section.,FormSelect,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,"getFormOptions(""meter_categories"")",Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,disabled,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-039,ireps-mobile/components/forms/WaterSections.js,46
