error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-034-E001,LOCAL_MESSAGE,Settings updated for all agents.,Client source: handleSave,"Alert.alert(""Success"", ""Settings updated for all agents."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-014,ireps-mobile/app/(tabs)/admin/settings/index.js,44
FRM-034-E002,LOCAL_MESSAGE,Failed to sync settings.,Client source: handleSave,"Alert.alert(""Error"", ""Failed to sync settings."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-014,ireps-mobile/app/(tabs)/admin/settings/index.js,46
FRM-034-E003,LOCAL_MESSAGE,Please fix the highlighted fields before creating the lookup.,Client source: handleCreate,"Alert.alert(
        ""Check lookup details"",
        ""Please fix the highlighted fields before creating the lookup."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,186
FRM-034-E004,LOCAL_MESSAGE,"The lookup was created as a draft. Add options, then publish it when ready.",Client source: handleCreate,"Alert.alert(
        ""Lookup created"",
        ""The lookup was created as a draft. Add options, then publish it when ready."",
        [
          {
            text: ""Open Lookup"",
            onPress: () =>
              router.replace({
                pathname: ""/(tabs)/admin/settings/select-lookups/[lookupKey]"",
                params: {
                  lookupKey: nextLookupKey,
                },
              }),
          },
        ],
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,209
FRM-034-E005,LOCAL_MESSAGE,"error?.message || ""The lookup could not be created.""",Client source: handleCreate,"Alert.alert(
        ""Could not create lookup"",
        error?.message || ""The lookup could not be created."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-016,ireps-mobile/app/(tabs)/admin/settings/select-lookups/create.js,226
FRM-034-E006,LOCAL_MESSAGE,lookupKey is required.,Client source: handleSave,"Alert.alert(""Missing lookup"", ""lookupKey is required."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-017,ireps-mobile/app/(tabs)/admin/settings/select-lookups/option.js,185
FRM-034-E007,LOCAL_MESSAGE,Please fix the highlighted fields before saving.,Client source: handleSave,"Alert.alert(
        ""Check option details"",
        ""Please fix the highlighted fields before saving."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-017,ireps-mobile/app/(tabs)/admin/settings/select-lookups/option.js,190
FRM-034-E008,LOCAL_MESSAGE,The option was saved.,Client source: handleSave,"Alert.alert(""Option updated"", ""The option was saved."", [
          {
            text: ""OK"",
            onPress: () =>
              router.replace({
                pathname: ""/(tabs)/admin/settings/select-lookups/[lookupKey]"",
                params: { lookupKey },
              }),
          },
        ])",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-017,ireps-mobile/app/(tabs)/admin/settings/select-lookups/option.js,210
FRM-034-E009,LOCAL_MESSAGE,The option was created as DRAFT. Publish it from the lookup detail screen when ready.,Client source: handleSave,"Alert.alert(
        ""Option created"",
        ""The option was created as DRAFT. Publish it from the lookup detail screen when ready."",
        [
          {
            text: ""OK"",
            onPress: () =>
              router.replace({
                pathname: ""/(tabs)/admin/settings/select-lookups/[lookupKey]"",
                params: { lookupKey },
              }),
          },
        ],
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-017,ireps-mobile/app/(tabs)/admin/settings/select-lookups/option.js,235
FRM-034-E010,LOCAL_MESSAGE,"error?.message || ""The option could not be saved.""",Client source: handleSave,"Alert.alert(
        isEditMode ? ""Could not update option"" : ""Could not create option"",
        error?.message || ""The option could not be saved."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-017,ireps-mobile/app/(tabs)/admin/settings/select-lookups/option.js,250
FRM-034-E011,LOCAL_MESSAGE,"message || ""Are you sure?""",Client source: handlePress,"Alert.alert(title || label, message || ""Are you sure?"", [
      {
        text: ""Cancel"",
        style: ""cancel"",
      },
      {
        text: label,
        style: color === ""#B91C1C"" ? ""destructive"" : ""default"",
        onPress: onConfirm,
      },
    ])",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-015,ireps-mobile/app/(tabs)/admin/settings/select-lookups/[lookupKey].js,88
FRM-034-E012,LOCAL_MESSAGE,Please enter a lookup title.,Client source: handleSave,"Alert.alert(""Title required"", ""Please enter a lookup title."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-015,ireps-mobile/app/(tabs)/admin/settings/select-lookups/[lookupKey].js,137
