module_id,module,family,application_status,content_status,body,manual,field_catalogue,error_register,examples,source_controls,source_messages,open_questions
MDIS,Meter Discovery,Meter registration,Existing package; newer path handover reviewed separately,"draft; source review, not release certification",01-body-of-knowledge/meter-discover-body-of-knowledge.md,02-user-manual/mobile/meter-discover-user-manual.md,01-body-of-knowledge/meter-discover-field-catalogue.md,01-body-of-knowledge/meter-discover-error-register.md,10-assessments/meter-discover-scenarios.md,75,110,"See original source baseline and 25 September handover reconciliation; counts use the original authored records, not the new control extraction method."
FRM-001,Sign In,Authentication,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/sign-in-body-of-knowledge.md,02-user-manual/shared/signin.md,01-body-of-knowledge/sign-in-field-catalogue.md,01-body-of-knowledge/sign-in-error-register.md,10-assessments/sign-in-scenarios.md,4,3,Verify the actual post-login route on each release. A successful Firebase sign-in followed by a missing user record is a partial result. Do not describe it as an incorrect password.
FRM-002,Sign Up,Authentication,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/sign-up-body-of-knowledge.md,02-user-manual/mobile/signup.md,01-body-of-knowledge/sign-up-field-catalogue.md,01-body-of-knowledge/sign-up-error-register.md,10-assessments/sign-up-scenarios.md,5,12,Confirm backend/UI parity on the target release and whether account creation succeeded before retrying a network failure. Do not promise an invitation email for self-signup.
FRM-003,Password Reset,Authentication,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/password-reset-body-of-knowledge.md,02-user-manual/shared/password-reset.md,01-body-of-knowledge/password-reset-field-catalogue.md,01-body-of-knowledge/password-reset-error-register.md,10-assessments/password-reset-scenarios.md,4,7,The hosted link expiry and provider error conditions require release testing. Never promise delivery time or expose whether another person has an account. The primary mobile tree links to /pwdReset but that screen is absent there; it exists in the mobile-auth worktree. The feature must be integrated and verified before the primary mobile guide can be treated as executable.
FRM-004,Change Password,Authentication,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/change-password-body-of-knowledge.md,02-user-manual/shared/change-password.md,01-body-of-knowledge/change-password-field-catalogue.md,01-body-of-knowledge/change-password-error-register.md,10-assessments/change-password-scenarios.md,4,8,The rule records no voluntary signed-in password-change route at present. The primary select-workbase screen still clears mustChangePassword: this conflicts with the rule that only an actual password change clears it. Flag for engineering review; Academy does not patch it.
FRM-005,Invited Profile and Admin Confirmation,Authentication,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/invited-profile-body-of-knowledge.md,02-user-manual/shared/invited-profile-user-manual.md,01-body-of-knowledge/invited-profile-field-catalogue.md,01-body-of-knowledge/invited-profile-error-register.md,10-assessments/invited-profile-scenarios.md,6,12,Legacy screen validation/routing may differ from the current mandatory-password design. Invitation delivery and account-change sequencing must be tested without exposing real credentials.
FRM-006,Email Verification,Authentication,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/email-verification-body-of-knowledge.md,02-user-manual/shared/email-verification-user-manual.md,01-body-of-knowledge/email-verification-field-catalogue.md,01-body-of-knowledge/email-verification-error-register.md,10-assessments/email-verification-scenarios.md,0,4,Routing and mutation connectivity require release verification. Do not merge this with Password Reset or Change Sign-in Email.
FRM-007,Phone Verification,Authentication,Partial source foundation; service and release unverified,"draft; source review, not release certification",01-body-of-knowledge/phone-verification-body-of-knowledge.md,02-user-manual/shared/phone-verification-user-manual.md,01-body-of-knowledge/phone-verification-field-catalogue.md,01-body-of-knowledge/phone-verification-error-register.md,10-assessments/phone-verification-scenarios.md,1,3,"VerifyPhone and resendPhoneCode endpoints are not established by the optional-hook syntax. Delivery, expiry, attempt limits and routing remain acceptance gaps. The primary API exposes sendPhoneOtp and confirmPhoneOtp instead of the verifyPhone/resendPhoneCode names used by this screen."
FRM-008,Workbase Selection and Account Settings,Authentication,Observed source; release unverified,"draft; source review, not release certification",01-body-of-knowledge/workbase-selection-body-of-knowledge.md,02-user-manual/shared/workbase-selection-user-manual.md,01-body-of-knowledge/workbase-selection-field-catalogue.md,01-body-of-knowledge/workbase-selection-error-register.md,10-assessments/workbase-selection-scenarios.md,2,1,"Primary select-workbase code clears mustChangePassword without changing a password, contrary to AU-R001. Keep this discrepancy visible. No blanket role inheritance is accepted."
FRM-009,Change Sign-in Email,Authentication,Feature-branch source; deployment unverified,"draft; source review, not release certification",01-body-of-knowledge/change-sign-in-email-body-of-knowledge.md,02-user-manual/mobile/change-sign-in-email.md,01-body-of-knowledge/change-sign-in-email-field-catalogue.md,01-body-of-knowledge/change-sign-in-email-error-register.md,10-assessments/change-sign-in-email-scenarios.md,19,23,"Verify deployment of email branches, permitted actor/target combinations and audit reconciliation. AU-R001 gives specific email-change permissions; it does not settle permission inheritance elsewhere."
