field_id,label,component,binding,description,input_type,prerequisites,requirement,allowed_values,validation,default,disabled,transformation,storage_mapping,source_id,source_path,line
FRM-016-C001,Type the reason,TextInput,"normalisation?.noActionReasonOther || """"",Source control for Type the reason; interpret in the business definitions and its enclosing section.,TextInput,needsReason; normalisation?.noActionReason === NO_ACTION_REASON_OTHER,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) =>
                setFieldValue(`${base}.noActionReasonOther`, text)",UI binding shown; persisted path must be verified against payload builder,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,1294
FRM-016-C002,`Enter ${label.toLowerCase()}`,TextInput,"value || """"",Source control for `Enter ${label.toLowerCase()}`; interpret in the business definitions and its enclosing section.,keyboardType,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) => {
            if (!String(text || """").trim()) setCleared(true);
            onChangeText(text);
          }",UI binding shown; persisted path must be verified against payload builder,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,2217
FRM-016-C003,whyMissing.label,IrepsSelectWithOther,whyMissing.value,Source control for whyMissing.label; interpret in the business definitions and its enclosing section.,IrepsSelectWithOther,showWhy,Not established by control prop alone,whyMissing.reasons,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,whyMissing.onChange,UI binding shown; persisted path must be verified against payload builder,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,2265
FRM-016-C004,label,IrepsSelectWithOther,value,Source control for label; interpret in the business definitions and its enclosing section.,IrepsSelectWithOther,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,options,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,onChange,UI binding shown; persisted path must be verified against payload builder,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,2317
FRM-016-C005,Meter Number,SameDeleteTextField,astData?.astNo,Source control for Meter Number; interpret in the business definitions and its enclosing section.,SameDeleteTextField,conditional branch: noAccess,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) =>
                          setFieldValue(
                            ""inspection.captured.ast.astData.astNo"",
                            text,
                          )",UI binding shown; persisted path must be verified against payload builder,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,3928
FRM-016-C006,Manufacturer,SameDeleteSelectField,astData?.astManufacturerSelect,Source control for Manufacturer; interpret in the business definitions and its enclosing section.,SameDeleteSelectField,conditional branch: noAccess,Not established by control prop alone,manufacturerOptions,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(nextValue) => {
                          setFieldValue(
                            ""inspection.captured.ast.astData.astManufacturerSelect"",
                            nextValue,
                          );
                          setFieldValue(
                            ""inspection.captured.ast.astData.astManufacturer"",
                            selectWithOtherToText(nextValue),
                          );
                        }",UI binding shown; persisted path must be verified against payload builder,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,3970
FRM-016-C007,Meter Model / Name,SameDeleteTextField,astData?.astName,Source control for Meter Model / Name; interpret in the business definitions and its enclosing section.,SameDeleteTextField,conditional branch: noAccess,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(text) =>
                          setFieldValue(
                            ""inspection.captured.ast.astData.astName"",
                            text,
                          )",UI binding shown; persisted path must be verified against payload builder,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,4018
FRM-016-C008,Placement,SameDeleteSelectField,capturedAst?.location?.placementSelect,Source control for Placement; interpret in the business definitions and its enclosing section.,SameDeleteSelectField,conditional branch: noAccess; isElectricityInspectionService,Not established by control prop alone,placementLookup.options,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(nextValue) => {
                              setFieldValue(
                                ""inspection.captured.ast.location.placementSelect"",
                                nextValue,
                              );
                              setFieldValue(
                                ""inspection.captured.ast.location.placement"",
                                selectWithOtherToText(nextValue),
                              );
                            }",UI binding shown; persisted path must be verified against payload builder,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,4155
FRM-016-C009,Off-grid Supply,SameDeleteSelectField,capturedAst?.ogs?.hasOffGridSupplySelect,Source control for Off-grid Supply; interpret in the business definitions and its enclosing section.,SameDeleteSelectField,conditional branch: noAccess; isElectricityInspectionService,Not established by control prop alone,OFF_GRID_SUPPLY_OPTIONS,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(nextValue) => {
                              setFieldValue(
                                ""inspection.captured.ast.ogs.hasOffGridSupplySelect"",
                                nextValue,
                              );
                              setFieldValue(
                                ""inspection.captured.ast.ogs.hasOffGridSupply"",
                                nextValue?.code ||
                                  selectWithOtherToText(nextValue),
                              );
                            }",UI binding shown; persisted path must be verified against payload builder,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,4203
FRM-016-C010,METER GPS CAPTURE,SovereignLocationPicker,inspection.captured.ast.location.gps,Source control for METER GPS CAPTURE; interpret in the business definitions and its enclosing section.,SovereignLocationPicker,conditional branch: noAccess,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,4279
