error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-021-E001,LOCAL_MESSAGE,Only a Manager may create a Supervisor.,Client source: handleCreateSupervisor,"Alert.alert(""Access Denied"", ""Only a Manager may create a Supervisor."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-022,ireps-mobile/app/(tabs)/admin/users/create-supervisor.js,143
FRM-021-E002,LOCAL_MESSAGE,This Manager is not linked to a valid Service Provider.,Client source: handleCreateSupervisor,"Alert.alert(
        ""Missing Service Provider Link"",
        ""This Manager is not linked to a valid Service Provider."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-022,ireps-mobile/app/(tabs)/admin/users/create-supervisor.js,148
FRM-021-E003,LOCAL_MESSAGE,"Name, surname, email and service provider are required.",Client source: handleCreateSupervisor,"Alert.alert(
        ""Incomplete Form"",
        ""Name, surname, email and service provider are required."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-022,ireps-mobile/app/(tabs)/admin/users/create-supervisor.js,156
FRM-021-E004,LOCAL_MESSAGE,Please enter a valid email address.,Client source: handleCreateSupervisor,"Alert.alert(""Invalid Email"", ""Please enter a valid email address."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-022,ireps-mobile/app/(tabs)/admin/users/create-supervisor.js,164
FRM-021-E005,LOCAL_MESSAGE,Please choose the Service Provider the Supervisor belongs to.,Client source: handleCreateSupervisor,"Alert.alert(
        ""Service Provider Required"",
        ""Please choose the Service Provider the Supervisor belongs to."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-022,ireps-mobile/app/(tabs)/admin/users/create-supervisor.js,169
FRM-021-E006,LOCAL_MESSAGE,The Supervisor was created successfully. Default password is 'password' and must be changed on first login.,Client source: handleCreateSupervisor,"Alert.alert(
        ""Supervisor Created"",
        ""The Supervisor was created successfully. Default password is 'password' and must be changed on first login."",
        [{ text: ""OK"", onPress: () => router.back() }],
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-022,ireps-mobile/app/(tabs)/admin/users/create-supervisor.js,187
FRM-021-E007,LOCAL_MESSAGE,"error?.message || ""The Supervisor could not be created.""",Client source: handleCreateSupervisor,"Alert.alert(
        ""Creation Failed"",
        error?.message || ""The Supervisor could not be created."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-022,ireps-mobile/app/(tabs)/admin/users/create-supervisor.js,193
FRM-021-E008,LOCAL_MESSAGE,"Email, name and surname are required.",Client source: handleSubmit,"Alert.alert(""Hold!"", ""Email, name and surname are required."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-021,ireps-mobile/app/(tabs)/admin/users/create-manager.js,69
FRM-021-E009,LOCAL_MESSAGE,Select a Main Contractor first.,Client source: handleSubmit,"Alert.alert(""Hold!"", ""Select a Main Contractor first."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-021,ireps-mobile/app/(tabs)/admin/users/create-manager.js,73
FRM-021-E010,LOCAL_MESSAGE,`Manager ${values.name.trim()} invited successfully.`,Client source: handleSubmit,"Alert.alert(
        ""Mission Confirmed"",
        `Manager ${values.name.trim()} invited successfully.`,
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-021,ireps-mobile/app/(tabs)/admin/users/create-manager.js,87
FRM-021-E011,LOCAL_MESSAGE,"err?.data || err?.message || ""Could not invite manager.""",Client source: handleSubmit,"Alert.alert(
        ""Command Error"",
        err?.data || err?.message || ""Could not invite manager."",
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-021,ireps-mobile/app/(tabs)/admin/users/create-manager.js,93
FRM-021-E012,LOCAL_MESSAGE,All identity fields are required.,Client source: handleSubmit,"Alert.alert(""Hold!"", ""All identity fields are required."")",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-020,ireps-mobile/app/(tabs)/admin/users/create-admin.js,17
