field_id,label,component,binding,description,input_type,prerequisites,requirement,allowed_values,validation,default,disabled,transformation,storage_mapping,source_id,source_path,line
FRM-011-C001,value,TextInputProxy,value,Source control for value; interpret in the business definitions and its enclosing section.,keyboardType,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,onChangeText,UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,544
FRM-011-C002,NAv,TextInput,"value || """"",Source control for NAv; interpret in the business definitions and its enclosing section.,keyboardType,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,onChangeText,UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,559
FRM-011-C003,Municipal Account Number,FormInputAccountNo,`accounts.${index}.accountNo`,Source control for Municipal Account Number; interpret in the business definitions and its enclosing section.,FormInputAccountNo,isFormOpen; conditional branch: isEditingExistingAccount,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,Handled by parent/shared component,UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,1411
FRM-011-C004,Registered Name,TextField,values.owner.juristicPerson.registeredName,Source control for Registered Name; interpret in the business definitions and its enclosing section.,TextField,"isFormOpen; conditional branch: values.owner.ownerType === ""JURISTIC_PERSON""",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => setFieldValue(""owner.juristicPerson.registeredName"", value)",UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,1491
FRM-011-C005,Registration Number,TextField,values.owner.juristicPerson.registrationNumber,Source control for Registration Number; interpret in the business definitions and its enclosing section.,TextField,"isFormOpen; conditional branch: values.owner.ownerType === ""JURISTIC_PERSON""",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => setFieldValue(""owner.juristicPerson.registrationNumber"", value)",UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,1497
FRM-011-C006,Trading Name,TextField,values.owner.juristicPerson.tradingName,Source control for Trading Name; interpret in the business definitions and its enclosing section.,TextField,"isFormOpen; conditional branch: values.owner.ownerType === ""JURISTIC_PERSON""",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => setFieldValue(""owner.juristicPerson.tradingName"", value)",UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,1502
FRM-011-C007,Name,TextField,values.owner.naturalPerson.name,Source control for Name; interpret in the business definitions and its enclosing section.,TextField,"isFormOpen; conditional branch: values.owner.ownerType === ""JURISTIC_PERSON""",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => setFieldValue(""owner.naturalPerson.name"", value)",UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,1510
FRM-011-C008,Surname,TextField,values.owner.naturalPerson.surname,Source control for Surname; interpret in the business definitions and its enclosing section.,TextField,"isFormOpen; conditional branch: values.owner.ownerType === ""JURISTIC_PERSON""",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => setFieldValue(""owner.naturalPerson.surname"", value)",UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,1516
FRM-011-C009,ID Number,TextField,values.owner.naturalPerson.idNumber,Source control for ID Number; interpret in the business definitions and its enclosing section.,TextField,"isFormOpen; conditional branch: values.owner.ownerType === ""JURISTIC_PERSON""",Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => setFieldValue(""owner.naturalPerson.idNumber"", value)",UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,1522
FRM-011-C010,Phone,TextField,values.owner.contact.phone,Source control for Phone; interpret in the business definitions and its enclosing section.,phone-pad,isFormOpen,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => setFieldValue(""owner.contact.phone"", value)",UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,1531
FRM-011-C011,WhatsApp,TextField,values.owner.contact.whatsapp,Source control for WhatsApp; interpret in the business definitions and its enclosing section.,phone-pad,isFormOpen,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => setFieldValue(""owner.contact.whatsapp"", value)",UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,1537
FRM-011-C012,Email,TextField,values.owner.contact.email,Source control for Email; interpret in the business definitions and its enclosing section.,email-address,isFormOpen,Not established by control prop alone,See schema / owning shared component,"string().email(""Invalid email"")",Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => setFieldValue(""owner.contact.email"", value)",UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,1543
FRM-011-C013,Name,TextField,values.occupant.name,Source control for Name; interpret in the business definitions and its enclosing section.,TextField,isFormOpen,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) => setFieldValue(""occupant.name"", value)",UI binding shown; persisted path must be verified against payload builder,FS-047,ireps-mobile/src/features/premises/FormAccountData.js,1591
