error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-032-E001,failed-precondition,Cycle window is missing or invalid. Cannot generate MREAD staging.,Server source: getCycleWindow,"new HttpsError(
      ""failed-precondition"",
      ""Cycle window is missing or invalid. Cannot generate MREAD staging."",
      { code: ""INVALID_CYCLE_WINDOW"" },
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,193
FRM-032-E002,unauthenticated,You must be signed in to generate MREAD staging.,Server source: assertCanGenerate,"new HttpsError(
      ""unauthenticated"",
      ""You must be signed in to generate MREAD staging."",
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1064
FRM-032-E003,permission-denied,Your role is not allowed to generate MREAD staging.,Server source: assertCanGenerate,"new HttpsError(
      ""permission-denied"",
      ""Your role is not allowed to generate MREAD staging."",
      { code: ""ROLE_NOT_ALLOWED"", role },
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1074
FRM-032-E004,permission-denied,You are not authorised for this LM staging cycle.,Server source: assertCanGenerate,"new HttpsError(
      ""permission-denied"",
      ""You are not authorised for this LM staging cycle."",
      { code: ""LM_SCOPE_NOT_ALLOWED"", lmPcode },
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1082
FRM-032-E005,failed-precondition,"error?.message || ""Unable to resolve selected MREAD staging cycle.""",Server source: resolveSelectedCycleContext,"new HttpsError(
      ""failed-precondition"",
      error?.message || ""Unable to resolve selected MREAD staging cycle."",
      {
        code: error?.message?.split("":"")[0] || ""MREAD_SELECTED_CYCLE_FAILED"",
        cycleId,
        lmPcode,
      },
    )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1362
FRM-032-E006,not-found,MREAD staging cycle not found.,Server source: fetchCycleForGeneration,"new HttpsError(""not-found"", ""MREAD staging cycle not found."", {
      code: ""CYCLE_NOT_FOUND"",
    })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1379
FRM-032-E007,failed-precondition,Cycle LM is missing.,Server source: fetchCycleForGeneration,"new HttpsError(""failed-precondition"", ""Cycle LM is missing."", {
      code: ""CYCLE_LM_MISSING"",
    })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1393
FRM-032-E008,not-found,MREAD staging cycle not found.,Server source: lockCycleForGeneration,"new HttpsError(""not-found"", ""MREAD staging cycle not found."", {
        code: ""CYCLE_NOT_FOUND"",
      })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1406
FRM-032-E009,aborted,MREAD staging generation is already running for this cycle.,Server source: lockCycleForGeneration,"new HttpsError(
        ""aborted"",
        ""MREAD staging generation is already running for this cycle."",
        { code: ""GENERATION_ALREADY_RUNNING"" },
      )",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1423
FRM-032-E010,failed-precondition,Cycle LM is missing.,Server source: lockCycleForGeneration,"new HttpsError(""failed-precondition"", ""Cycle LM is missing."", {
        code: ""CYCLE_LM_MISSING"",
      })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1432
FRM-032-E011,"error?.code || error?.details?.code || ""GENERATE_MREAD_STAGING_FAILED""","error?.message || ""Failed to generate MREAD staging.""",Server source: markGenerationFailed,"{
      code:
        error?.code || error?.details?.code || ""GENERATE_MREAD_STAGING_FAILED"",
      message: error?.message || ""Failed to generate MREAD staging."",
    }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1539
FRM-032-E012,invalid-argument,cycleId is required.,Server source: generateMreadStaging,"new HttpsError(""invalid-argument"", ""cycleId is required."", {
        code: ""CYCLE_ID_REQUIRED"",
      })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1602
FRM-032-E013,error?.code,error?.message,Server source: generateMreadStaging,"{
        cycleId,
        uid,
        code: error?.code,
        message: error?.message,
      }",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-098,ireps-web/functions/registry/mread/generateMreadStaging.js,1821
