reference,runtime_code,stage,message,data_state,recovery,source
MD-E001,ANOMALY_PHOTO_REQUIRED,Payload validation,Anomaly photo is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Capture or restore the photograph for the named evidence tag; verify its URI and upload. An unrelated photo does not satisfy this requirement.,MD-S41:700
MD-E002,BATCH_CHECK_UNAVAILABLE,Batch ownership guard,iREPS could not check which batch this meter is in. Nothing was saved. Please try again.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,Retain captured evidence; restore connectivity and retry the same item after the batch check is available.,MD-S44:42
MD-E003,CB_PHOTO_REQUIRED,Payload validation,Circuit Breaker photo is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.",Capture or restore the photograph for the named evidence tag; verify its URI and upload. An unrelated photo does not satisfy this requirement.,MD-S41:794
MD-E004,CB_SIZE_OR_COMMENT_REQUIRED,Payload validation,Electricity meter circuit breaker size or comment is required,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:792
MD-E005,DEVICE_OFFLINE,Local queue / connectivity,Device offline,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,Check that a local item exists; restore connectivity and inspect its status rather than assuming background transmission.,MD-S17:65
MD-E006,DUPLICATE_NORMALISATION_ACTION,Payload validation,The same action cannot be chosen twice.,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Recheck finding, one follow-on job at most, on-site fixes and any required reason. If phone accepts choices the server rejects, check release compatibility.",MD-S41:200
MD-E007,DUPLICATE_OTHER_ANOMALY,Payload validation,ast.anomalies.otherAnomalies cannot contain duplicates,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:378
MD-E008,FIELDWORK_INVALID,Batch preparation / submission / derivation,The Sales fieldWork value is invalid.,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Reopen the assigned row, confirm team/workbase/ERF/premise and current row state; supervisor resolves correlation conflicts. Preserve the original transaction identity.",MD-S43:1395
MD-E009,INVALID_ACCESS_VALUE,Payload validation,accessData.access.hasAccess must be yes or no,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:558
MD-E010,INVALID_METER_CATEGORY,Payload validation,Meter category must be Normal or Bulk,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:660
MD-E011,INVALID_METER_GPS,Payload validation,ast.location.gps must contain valid numeric lat and lng,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:653
MD-E012,INVALID_METER_NUMBER,Discovery callable,Meter number must contain a non-whitespace value,Depends on calling stage; queued or already accepted records may exist. Check original transaction before retry.,"Compare with the physical serial, preserve leading zeros, remove spaces and correct invalid symbols; escalate genuinely unreadable identity.",MD-S40:3124
MD-E013,INVALID_METER_PHASE,Payload validation,Electricity meter phase must be single or three,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:746
MD-E014,INVALID_METER_PLACEMENT,Payload validation,Electricity meter placement must use an approved Meter Placement option,"At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:329
MD-E015,INVALID_METER_STATUS,Payload validation,"status.state must be one of CONNECTED, DISCONNECTED","At callable validation this attempt is refused before its write. The same validator also runs during derivation, when a transaction already exists. Check the original ID after any uncertain attempt.","Correct the named field using the field catalogue; if no valid truthful value is possible, retain the capture and escalate the field/contract gap.",MD-S41:681
