field_id,label,component,binding,description,input_type,prerequisites,requirement,allowed_values,validation,default,disabled,transformation,storage_mapping,source_id,source_path,line
FRM-031-C001,selectedWardPcode,select,selectedWardPcode,Source control for selectedWardPcode; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,!lmPcode || wardOptions.length === 0,handleWardChange,UI binding shown; persisted path must be verified against payload builder,FS-158,ireps-web/src/pages/operations/BmdBgoPage.jsx,1141
FRM-031-C002,selectedId,select,selectedId,Source control for selectedId; interpret in the business definitions and its enclosing section.,select,conditional branch: rowsWithMultipleGeofences.length > 0,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(event) =>
                      selectRowGeofence(row.id, event.target.value)",UI binding shown; persisted path must be verified against payload builder,FS-165,ireps-web/src/pages/operations/TcBgoPage.jsx,1528
FRM-031-C003,placeholder,input,value,Source control for placeholder; interpret in the business definitions and its enclosing section.,input,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => onChange(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-161,ireps-web/src/pages/operations/MdBgoRowsPage.jsx,687
FRM-031-C004,value,select,value,Source control for value; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => onChange(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-161,ireps-web/src/pages/operations/MdBgoRowsPage.jsx,698
FRM-031-C005,value,select,value,Source control for value; interpret in the business definitions and its enclosing section.,select,No direct enclosing conditional captured; check caller and route prerequisites.,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,(event) => onChange(event.target.value),UI binding shown; persisted path must be verified against payload builder,FS-161,ireps-web/src/pages/operations/MdBgoRowsPage.jsx,724
FRM-031-C006,premiseFilters.address,FilterInput,premiseFilters.address,Source control for premiseFilters.address; interpret in the business definitions and its enclosing section.,FilterInput,conditional branch: activeTab === TAB_PREMISES; conditional branch: visiblePremiseRows.length === 0,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) =>
                          setPremiseFilters((prev) => ({
                            ...prev,
                            address: value,
                          }))",UI binding shown; persisted path must be verified against payload builder,FS-161,ireps-web/src/pages/operations/MdBgoRowsPage.jsx,1193
FRM-031-C007,premiseFilters.erfNo,FilterInput,premiseFilters.erfNo,Source control for premiseFilters.erfNo; interpret in the business definitions and its enclosing section.,FilterInput,conditional branch: activeTab === TAB_PREMISES; conditional branch: visiblePremiseRows.length === 0,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) =>
                          setPremiseFilters((prev) => ({
                            ...prev,
                            erfNo: value,
                          }))",UI binding shown; persisted path must be verified against payload builder,FS-161,ireps-web/src/pages/operations/MdBgoRowsPage.jsx,1204
FRM-031-C008,premiseFilters.propertyType,FilterInput,premiseFilters.propertyType,Source control for premiseFilters.propertyType; interpret in the business definitions and its enclosing section.,FilterInput,conditional branch: activeTab === TAB_PREMISES; conditional branch: visiblePremiseRows.length === 0,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) =>
                          setPremiseFilters((prev) => ({
                            ...prev,
                            propertyType: value,
                          }))",UI binding shown; persisted path must be verified against payload builder,FS-161,ireps-web/src/pages/operations/MdBgoRowsPage.jsx,1215
FRM-031-C009,premiseFilters.propertyName,FilterInput,premiseFilters.propertyName,Source control for premiseFilters.propertyName; interpret in the business definitions and its enclosing section.,FilterInput,conditional branch: activeTab === TAB_PREMISES; conditional branch: visiblePremiseRows.length === 0,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) =>
                          setPremiseFilters((prev) => ({
                            ...prev,
                            propertyName: value,
                          }))",UI binding shown; persisted path must be verified against payload builder,FS-161,ireps-web/src/pages/operations/MdBgoRowsPage.jsx,1226
FRM-031-C010,premiseFilters.unitNo,FilterInput,premiseFilters.unitNo,Source control for premiseFilters.unitNo; interpret in the business definitions and its enclosing section.,FilterInput,conditional branch: activeTab === TAB_PREMISES; conditional branch: visiblePremiseRows.length === 0,Not established by control prop alone,See schema / owning shared component,Not resolved by matching this control to a local schema key; review source validator and backend.,Inherited binding shown; default not established by this extraction,No direct prop captured,"(value) =>
                          setPremiseFilters((prev) => ({
                            ...prev,
                            unitNo: value,
                          }))",UI binding shown; persisted path must be verified against payload builder,FS-161,ireps-web/src/pages/operations/MdBgoRowsPage.jsx,1237
