error_id,code,message,source_stage,trigger_evidence,data_state,remedy,source_id,source_path,line
FRM-016-E001,LOCAL_MESSAGE,"{
          path: ""inspection.captured.ast.astData.meter.type"",
          message:
            ""Inspection is blocked because the existing iREPS meter kind is unknown. Update the meter record before creating an INSPECTION."",
        }",Client source: ,"this.createError({
          path: ""inspection.captured.ast.astData.meter.type"",
          message:
            ""Inspection is blocked because the existing iREPS meter kind is unknown. Update the meter record before creating an INSPECTION."",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,1517
FRM-016-E002,LOCAL_MESSAGE,"{
            path: ""accessData.access.reasonSelect"",
            message: ""No-access reason is required"",
          }",Client source: ,"this.createError({
            path: ""accessData.access.reasonSelect"",
            message: ""No-access reason is required"",
          })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,1528
FRM-016-E003,LOCAL_MESSAGE,"{
            path: ""media"",
            message: ""No access photo is required"",
          }",Client source: ,"this.createError({
            path: ""media"",
            message: ""No access photo is required"",
          })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,1535
FRM-016-E004,LOCAL_MESSAGE,"{
          path: ""inspection.captured.ast.astData.astNo"",
          message: ""Meter number is required"",
        }",Client source: ,"this.createError({
          path: ""inspection.captured.ast.astData.astNo"",
          message: ""Meter number is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,1553
FRM-016-E005,LOCAL_MESSAGE,"{
          path: ""inspection.captured.ast.astData.astManufacturer"",
          message: ""Manufacturer is required"",
        }",Client source: ,"this.createError({
          path: ""inspection.captured.ast.astData.astManufacturer"",
          message: ""Manufacturer is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,1560
FRM-016-E006,LOCAL_MESSAGE,"{
          path: ""inspection.captured.ast.astData.astName"",
          message: ""Meter model/name is required"",
        }",Client source: ,"this.createError({
          path: ""inspection.captured.ast.astData.astName"",
          message: ""Meter model/name is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,1567
FRM-016-E007,LOCAL_MESSAGE,"{
          path: ""inspection.captured.ast.astData.meter.type"",
          message: ""Meter kind is required"",
        }",Client source: ,"this.createError({
          path: ""inspection.captured.ast.astData.meter.type"",
          message: ""Meter kind is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,1574
FRM-016-E008,LOCAL_MESSAGE,"{
          path: ""inspection.captured.ast.astData.meter.category"",
          message: ""Meter category is required"",
        }",Client source: ,"this.createError({
          path: ""inspection.captured.ast.astData.meter.category"",
          message: ""Meter category is required"",
        })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,1581
FRM-016-E009,LOCAL_MESSAGE,"{
            path: ""inspection.captured.ast.astData.meter.phaseSelect"",
            message: ""Phase is required"",
          }",Client source: ,"this.createError({
            path: ""inspection.captured.ast.astData.meter.phaseSelect"",
            message: ""Phase is required"",
          })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,1589
FRM-016-E010,LOCAL_MESSAGE,"{
            path: ""inspection.captured.ast.astData.meter.cb.size"",
            message:
              ""CB size is required: press SAME, type it, or pick why there is none"",
          }",Client source: ,"this.createError({
            path: ""inspection.captured.ast.astData.meter.cb.size"",
            message:
              ""CB size is required: press SAME, type it, or pick why there is none"",
          })",Inspect trigger/commit ordering; this extracted entry alone does not establish rollback.,Use the situation table and module-specific guidance; preserve original attempt identity.,FS-025,ireps-mobile/app/(tabs)/asts/inspection.js,1599
